customer_id,signup_date,age_group,gender,home_location_id,preferred_channel,loyalty_member
CUST0000001,2023-10-31,35-44,Male,LOC0021,App,false
CUST0000002,2022-01-20,45-54,Male,LOC0011,Website,false
CUST0000003,2024-06-20,55+,Male,LOC0015,Dine-in,true
CUST0000004,2025-06-28,55+,Female,LOC0023,App,false
CUST0000005,2024-05-14,55+,Male,LOC0007,ThirdPartyDelivery,false
CUST0000006,2025-05-03,18-24,Female,LOC0006,App,false
CUST0000007,2022-10-18,35-44,Female,LOC0024,Takeaway,false
CUST0000008,2022-04-12,35-44,Female,,Dine-in,false
CUST0000009,2024-08-23,45-54,Female,LOC0022,App,false
CUST0000010,2022-08-30,35-44,Male,LOC0011,Takeaway,true
CUST0000011,2023-08-07,18-24,Male,,Dine-in,true
CUST0000012,2025-10-16,25-34,Male,LOC0007,Dine-in,true
CUST0000013,2025-11-08,35-44,Male,LOC0025,Takeaway,false
CUST0000014,2025-06-06,35-44,Female,LOC0006,Takeaway,false
CUST0000015,2023-06-23,18-24,Male,LOC0014,ThirdPartyDelivery,false
CUST0000016,2023-06-22,25-34,Female,LOC0018,App,false
CUST0000017,2025-11-22,25-34,Male,LOC0020,ThirdPartyDelivery,false
CUST0000018,2023-03-10,25-34,Undisclosed,,ThirdPartyDelivery,true
CUST0000019,2022-02-27,45-54,Male,LOC0008,App,false
CUST0000020,2023-01-12,25-34,Undisclosed,LOC0004,Dine-in,true
CUST0000021,2023-02-05,55+,Female,LOC0002,Takeaway,false
CUST0000022,2022-10-04,18-24,Male,LOC0012,ThirdPartyDelivery,false
CUST0000023,2022-04-30,18-24,Male,LOC0022,Dine-in,true
CUST0000024,2023-03-23,35-44,Male,LOC0016,Website,false
CUST0000025,2024-10-08,25-34,Undisclosed,LOC0009,Website,false
CUST0000026,2022-07-20,55+,Male,LOC0013,Dine-in,false
CUST0000027,2024-02-01,35-44,Male,LOC0004,Takeaway,false
CUST0000028,2023-08-12,25-34,Female,LOC0018,App,true
CUST0000029,2024-11-20,25-34,Male,LOC0012,Dine-in,true
CUST0000030,2022-12-13,25-34,Male,LOC0011,Takeaway,false
CUST0000031,2025-06-18,45-54,Female,LOC0022,App,false
CUST0000032,2024-03-09,25-34,Female,LOC0002,Takeaway,true
