order_id,customer_id,location_id,order_datetime,order_channel,order_status,promotion_id,subtotal,discount_amount,tax_amount,total_amount,payment_method
ORD00000002,CUST0054397,LOC0004,2025-01-01 00:12:52,Takeaway,Completed,,4400.00,0.00,660.00,5060.00,Cash
ORD00000040,CUST0023090,LOC0007,2025-01-01 12:11:20,Takeaway,Completed,,2160.00,0.00,345.60,2505.60,Card
ORD00000066,CUST0025050,LOC0007,2025-01-01 12:40:53,Dine-in,Completed,PROMO001,6820.00,1023.00,927.52,6724.52,Card
ORD00000072,CUST0051168,LOC0023,2025-01-01 12:47:06,Dine-in,Completed,,7630.00,0.00,1144.50,8774.50,Cash
ORD00000079,CUST0028400,LOC0004,2025-01-01 12:51:14,Dine-in,Completed,,7910.00,0.00,1186.50,9096.50,Card
ORD00000093,CUST0011113,LOC0008,2025-01-01 13:05:50,App,Completed,,2530.00,0.00,404.80,2934.80,Online
ORD00000096,CUST0052345,LOC0003,2025-01-01 13:10:37,Dine-in,Completed,,6850.00,0.00,1027.50,7877.50,Cash
ORD00000109,CUST0045994,LOC0002,2025-01-01 13:26:55,Dine-in,Completed,PROMO001,9760.00,1464.00,1244.40,9540.40,Cash
ORD00000115,CUST0039597,LOC0014,2025-01-01 13:35:40,Website,Completed,PROMO001,4930.00,739.50,628.57,4819.07,Online
ORD00000127,CUST0039896,LOC0019,2025-01-01 13:58:58,ThirdPartyDelivery,Completed,,4580.00,0.00,732.80,5312.80,Cash
ORD00000128,CUST0031321,LOC0004,2025-01-01 13:59:08,Takeaway,Completed,,3470.00,0.00,520.50,3990.50,Card
ORD00000138,CUST0022443,LOC0020,2025-01-01 14:15:19,Dine-in,Completed,,2150.00,0.00,322.50,2472.50,Cash
ORD00000146,CUST0030467,LOC0004,2025-01-01 14:39:45,Takeaway,Completed,PROMO001,3995.00,599.25,509.36,3905.11,Cash
ORD00000147,CUST0011207,LOC0023,2025-01-01 14:41:10,Takeaway,Completed,,5800.00,0.00,870.00,6670.00,Cash
ORD00000152,CUST0039452,LOC0015,2025-01-01 14:50:39,Takeaway,Completed,PROMO001,9480.00,1422.00,1289.28,9347.28,Card
ORD00000166,CUST0015394,LOC0015,2025-01-01 15:52:41,ThirdPartyDelivery,Completed,,6610.00,0.00,1057.60,7667.60,Cash
ORD00000174,CUST0042118,LOC0001,2025-01-01 16:27:31,Dine-in,Completed,,2900.00,0.00,435.00,3335.00,Cash
ORD00000257,CUST0018640,LOC0021,2025-01-01 19:48:01,App,Completed,,1880.00,0.00,282.00,2162.00,Card
ORD00000273,CUST0050756,LOC0017,2025-01-01 20:05:30,Takeaway,Completed,,3660.00,0.00,585.60,4245.60,Card
ORD00000279,CUST0008833,LOC0013,2025-01-01 20:13:49,App,Completed,,5160.00,0.00,774.00,5934.00,Online
ORD00000286,CUST0024729,LOC0016,2025-01-01 20:19:59,Dine-in,Completed,,6150.00,0.00,984.00,7134.00,Wallet
ORD00000290,CUST0043023,LOC0018,2025-01-01 20:23:53,App,Completed,,6530.00,0.00,1044.80,7574.80,Cash
ORD00000292,CUST0000141,LOC0014,2025-01-01 20:27:28,App,Completed,,3300.00,0.00,495.00,3795.00,Card
ORD00000293,CUST0009427,LOC0005,2025-01-01 20:28:05,ThirdPartyDelivery,Completed,,7590.00,0.00,1138.50,8728.50,Cash
ORD00000294,CUST0002087,LOC0022,2025-01-01 20:31:27,Takeaway,Completed,,17810.00,0.00,2671.50,20481.50,Wallet
