price_id,item_id,location_id,price,cost,effective_start_date,effective_end_date,change_reason
PRC00001,ITEM0001,,250.00,88.66,2024-07-01,2025-01-31,menu revision
PRC00002,ITEM0001,,260.00,93.07,2025-02-01,2025-08-31,inflation
PRC00003,ITEM0001,,270.00,95.57,2025-09-01,,inflation
PRC00004,ITEM0002,,200.00,67.63,2024-07-01,2025-01-31,menu revision
PRC00005,ITEM0002,,210.00,72.86,2025-02-01,2025-08-31,inflation
PRC00006,ITEM0002,,215.00,75.87,2025-09-01,,inflation
PRC00007,ITEM0003,,350.00,133.74,2024-07-01,2025-01-31,menu revision
PRC00008,ITEM0003,,360.00,139.35,2025-02-01,2025-06-30,inflation
PRC00009,ITEM0003,,380.00,139.35,2025-07-01,2025-08-31,seasonal
PRC00010,ITEM0003,,400.00,142.17,2025-09-01,2025-09-30,inflation
PRC00011,ITEM0003,,380.00,142.17,2025-10-01,,seasonal
PRC00012,ITEM0004,,550.00,205.81,2024-07-01,2025-01-31,menu revision
PRC00013,ITEM0004,,570.00,214.30,2025-02-01,2025-06-30,inflation
PRC00014,ITEM0004,,600.00,214.30,2025-07-01,2025-08-31,seasonal
PRC00015,ITEM0004,,620.00,220.14,2025-09-01,2025-09-30,inflation
PRC00016,ITEM0004,,590.00,220.14,2025-10-01,,seasonal
PRC00017,ITEM0005,,400.00,140.09,2024-07-01,2025-01-31,menu revision
PRC00018,ITEM0005,,420.00,149.00,2025-02-01,,inflation
PRC00019,ITEM0005,LOC0003,450.00,149.00,2025-03-01,,location premium
PRC00020,ITEM0005,LOC0006,450.00,149.00,2025-03-01,,location premium
PRC00021,ITEM0005,LOC0009,450.00,149.00,2025-03-01,,location premium
PRC00022,ITEM0005,LOC0014,450.00,149.00,2025-03-01,,location premium
PRC00023,ITEM0005,LOC0018,450.00,149.00,2025-03-01,,location premium
PRC00024,ITEM0005,LOC0024,450.00,149.00,2025-03-01,,location premium
PRC00025,ITEM0005,LOC0025,450.00,149.00,2025-03-01,,location premium
PRC00026,ITEM0006,,750.00,275.83,2024-07-01,2025-01-31,menu revision
PRC00027,ITEM0006,,770.00,296.28,2025-02-01,,inflation
PRC00028,ITEM0006,LOC0003,830.00,296.28,2025-03-01,,location premium
PRC00029,ITEM0006,LOC0006,830.00,296.28,2025-03-01,,location premium
PRC00030,ITEM0006,LOC0009,830.00,296.28,2025-03-01,,location premium
PRC00031,ITEM0006,LOC0014,830.00,296.28,2025-03-01,,location premium
PRC00032,ITEM0006,LOC0018,830.00,296.28,2025-03-01,,location premium
PRC00033,ITEM0006,LOC0024,830.00,296.28,2025-03-01,,location premium
PRC00034,ITEM0006,LOC0025,830.00,296.28,2025-03-01,,location premium
PRC00035,ITEM0007,,1650.00,664.76,2024-07-01,2025-01-31,menu revision
PRC00036,ITEM0007,,1710.00,711.90,2025-02-01,2025-04-30,inflation
PRC00037,ITEM0007,,1570.00,711.90,2025-05-01,,promotion-adjustment
PRC00038,ITEM0008,,950.00,146.52,2024-07-01,2025-01-31,menu revision
PRC00039,ITEM0008,,990.00,157.77,2025-02-01,2025-08-31,inflation
PRC00040,ITEM0008,,1030.00,165.58,2025-09-01,,inflation
PRC00041,ITEM0009,,450.00,166.20,2024-07-01,2025-01-31,menu revision
PRC00042,ITEM0009,,470.00,178.25,2025-02-01,2025-08-31,inflation
PRC00043,ITEM0009,,490.00,185.03,2025-09-01,,inflation
PRC00044,ITEM0010,,1220.00,552.35,2025-06-12,2025-07-02,introductory price
PRC00045,ITEM0010,,1350.00,552.35,2025-07-03,2025-08-31,introductory offer ended
PRC00046,ITEM0010,,1390.00,568.66,2025-09-01,,inflation
PRC00047,ITEM0011,,890.00,319.15,2024-07-01,2025-01-31,menu revision
PRC00048,ITEM0011,,920.00,332.30,2025-02-01,2025-08-31,inflation
PRC00049,ITEM0011,,940.00,340.59,2025-09-01,,inflation
PRC00050,ITEM0011,LOC0003,990.00,332.30,2025-03-01,2025-08-31,location premium
PRC00051,ITEM0011,LOC0003,1020.00,340.59,2025-09-01,,location premium
PRC00052,ITEM0011,LOC0006,990.00,332.30,2025-03-01,2025-08-31,location premium
PRC00053,ITEM0011,LOC0006,1020.00,340.59,2025-09-01,,location premium
PRC00054,ITEM0011,LOC0009,990.00,332.30,2025-03-01,2025-08-31,location premium
PRC00055,ITEM0011,LOC0009,1020.00,340.59,2025-09-01,,location premium
PRC00056,ITEM0011,LOC0014,990.00,332.30,2025-03-01,2025-08-31,location premium
PRC00057,ITEM0011,LOC0014,1020.00,340.59,2025-09-01,,location premium
PRC00058,ITEM0011,LOC0018,990.00,332.30,2025-03-01,2025-08-31,location premium
PRC00059,ITEM0011,LOC0018,1020.00,340.59,2025-09-01,,location premium
PRC00060,ITEM0011,LOC0024,990.00,332.30,2025-03-01,2025-08-31,location premium
PRC00061,ITEM0011,LOC0024,1020.00,340.59,2025-09-01,,location premium
PRC00062,ITEM0011,LOC0025,990.00,332.30,2025-03-01,2025-08-31,location premium
PRC00063,ITEM0011,LOC0025,1020.00,340.59,2025-09-01,,location premium
PRC00064,ITEM0012,,850.00,376.85,2024-07-01,2025-01-31,menu revision
PRC00065,ITEM0012,,900.00,402.60,2025-02-01,,inflation
PRC00066,ITEM0013,,380.00,166.87,2024-07-01,2025-01-31,menu revision
PRC00067,ITEM0013,,400.00,179.48,2025-02-01,2025-06-30,inflation
PRC00068,ITEM0013,,420.00,179.48,2025-07-01,2025-09-30,seasonal
PRC00069,ITEM0013,,400.00,179.48,2025-10-01,,seasonal
PRC00070,ITEM0014,,470.00,172.13,2024-11-01,2025-02-28,seasonal
PRC00071,ITEM0014,,450.00,172.13,2025-03-01,2025-03-14,seasonal
PRC00072,ITEM0014,,470.00,180.01,2025-03-15,2025-10-31,inflation
PRC00073,ITEM0014,,490.00,180.01,2025-11-01,,seasonal
PRC00074,ITEM0015,,500.00,174.09,2024-11-01,2025-02-28,seasonal
PRC00075,ITEM0015,,480.00,174.09,2025-03-01,2025-03-14,seasonal
PRC00076,ITEM0015,,500.00,184.59,2025-03-15,2025-10-31,inflation
PRC00077,ITEM0015,,520.00,184.59,2025-11-01,,seasonal
PRC00078,ITEM0016,,550.00,202.60,2024-11-01,2025-02-28,seasonal
PRC00079,ITEM0016,,520.00,202.60,2025-03-01,2025-03-14,seasonal
PRC00080,ITEM0016,,540.00,210.83,2025-03-15,2025-10-31,inflation
PRC00081,ITEM0016,,560.00,210.83,2025-11-01,,seasonal
PRC00082,ITEM0017,,650.00,279.70,2024-07-01,2025-03-14,menu revision
PRC00083,ITEM0017,,680.00,292.31,2025-03-15,,inflation
PRC00084,ITEM0018,,580.00,222.66,2024-11-01,2025-02-28,seasonal
PRC00085,ITEM0018,,550.00,222.66,2025-03-01,2025-03-14,seasonal
PRC00086,ITEM0018,,590.00,236.34,2025-03-15,2025-10-31,inflation
PRC00087,ITEM0018,,620.00,236.34,2025-11-01,,seasonal
PRC00088,ITEM0019,,350.00,148.60,2024-07-01,2025-03-14,menu revision
PRC00089,ITEM0019,,360.00,154.84,2025-03-15,,inflation
PRC00090,ITEM0019,LOC0003,380.00,148.60,2025-03-01,2025-03-14,location premium
PRC00091,ITEM0019,LOC0003,390.00,154.84,2025-03-15,,location premium
PRC00092,ITEM0019,LOC0006,380.00,148.60,2025-03-01,2025-03-14,location premium
PRC00093,ITEM0019,LOC0006,390.00,154.84,2025-03-15,,location premium
PRC00094,ITEM0019,LOC0009,380.00,148.60,2025-03-01,2025-03-14,location premium
PRC00095,ITEM0019,LOC0009,390.00,154.84,2025-03-15,,location premium
PRC00096,ITEM0019,LOC0014,380.00,148.60,2025-03-01,2025-03-14,location premium
PRC00097,ITEM0019,LOC0014,390.00,154.84,2025-03-15,,location premium
PRC00098,ITEM0019,LOC0018,380.00,148.60,2025-03-01,2025-03-14,location premium
PRC00099,ITEM0019,LOC0018,390.00,154.84,2025-03-15,,location premium
PRC00100,ITEM0019,LOC0024,380.00,148.60,2025-03-01,2025-03-14,location premium
PRC00101,ITEM0019,LOC0024,390.00,154.84,2025-03-15,,location premium
PRC00102,ITEM0019,LOC0025,380.00,148.60,2025-03-01,2025-03-14,location premium
PRC00103,ITEM0019,LOC0025,390.00,154.84,2025-03-15,,location premium
PRC00104,ITEM0020,,780.00,303.62,2024-07-01,2025-03-14,menu revision
PRC00105,ITEM0020,,810.00,323.82,2025-03-15,,inflation
PRC00106,ITEM0021,,420.00,168.96,2024-07-01,2025-03-14,menu revision
PRC00107,ITEM0021,,430.00,179.74,2025-03-15,2025-08-31,inflation
PRC00108,ITEM0021,,450.00,184.70,2025-09-01,,inflation
PRC00109,ITEM0022,,480.00,164.43,2024-11-01,2025-02-28,seasonal
PRC00110,ITEM0022,,460.00,164.43,2025-03-01,2025-03-14,seasonal
PRC00111,ITEM0022,,490.00,174.65,2025-03-15,2025-04-30,inflation
PRC00112,ITEM0023,,450.00,186.99,2024-07-01,2025-01-31,menu revision
PRC00113,ITEM0023,,470.00,200.14,2025-02-01,,inflation
PRC00114,ITEM0024,,750.00,259.73,2024-07-01,2025-01-31,menu revision
PRC00115,ITEM0024,,790.00,275.47,2025-02-01,2025-08-31,inflation
PRC00116,ITEM0024,,820.00,285.28,2025-09-01,,inflation
PRC00117,ITEM0025,,780.00,320.05,2024-07-01,2025-01-31,menu revision
PRC00118,ITEM0025,,820.00,334.06,2025-02-01,,inflation
PRC00119,ITEM0025,LOC0003,890.00,334.06,2025-03-01,,location premium
PRC00120,ITEM0025,LOC0006,890.00,334.06,2025-03-01,,location premium
PRC00121,ITEM0025,LOC0009,890.00,334.06,2025-03-01,,location premium
PRC00122,ITEM0025,LOC0014,890.00,334.06,2025-03-01,,location premium
PRC00123,ITEM0025,LOC0018,890.00,334.06,2025-03-01,,location premium
PRC00124,ITEM0025,LOC0024,890.00,334.06,2025-03-01,,location premium
PRC00125,ITEM0025,LOC0025,890.00,334.06,2025-03-01,,location premium
PRC00126,ITEM0026,,520.00,224.58,2024-07-01,2025-01-31,menu revision
PRC00127,ITEM0026,,540.00,239.70,2025-02-01,2025-08-31,inflation
PRC00128,ITEM0026,,570.00,245.78,2025-09-01,,inflation
PRC00129,ITEM0027,,400.00,134.87,2024-07-01,2025-01-31,menu revision
PRC00130,ITEM0027,,420.00,144.90,2025-02-01,2025-03-31,inflation
PRC00131,ITEM0027,,440.00,144.90,2025-04-01,2025-08-31,seasonal
PRC00132,ITEM0027,,420.00,144.90,2025-09-01,,seasonal
PRC00133,ITEM0028,,380.00,151.95,2024-07-01,2025-01-31,menu revision
PRC00134,ITEM0028,,390.00,160.88,2025-02-01,2025-06-30,inflation
PRC00135,ITEM0028,,410.00,160.88,2025-07-01,2025-09-30,seasonal
PRC00136,ITEM0028,,390.00,160.88,2025-10-01,,seasonal
