promotion_id,item_id
PROMO001,ITEM0001
PROMO001,ITEM0002
PROMO001,ITEM0003
PROMO001,ITEM0004
PROMO001,ITEM0005
PROMO001,ITEM0006
PROMO001,ITEM0007
PROMO001,ITEM0008
PROMO001,ITEM0009
PROMO001,ITEM0011
PROMO001,ITEM0012
PROMO001,ITEM0013
PROMO001,ITEM0014
PROMO001,ITEM0015
PROMO001,ITEM0016
PROMO001,ITEM0017
PROMO001,ITEM0018
PROMO001,ITEM0019
PROMO001,ITEM0020
PROMO001,ITEM0021
PROMO001,ITEM0022
PROMO001,ITEM0023
PROMO001,ITEM0024
PROMO001,ITEM0025
PROMO001,ITEM0026
PROMO001,ITEM0027
PROMO001,ITEM0028
PROMO001,ITEM0029
PROMO001,ITEM0030
PROMO001,ITEM0032
PROMO001,ITEM0033
PROMO001,ITEM0034
PROMO001,ITEM0035
PROMO001,ITEM0036
PROMO001,ITEM0037
PROMO001,ITEM0038
PROMO001,ITEM0039
PROMO001,ITEM0040
PROMO001,ITEM0041
PROMO001,ITEM0042
PROMO001,ITEM0043
PROMO001,ITEM0044
PROMO001,ITEM0045
PROMO001,ITEM0046
PROMO001,ITEM0047
PROMO001,ITEM0048
PROMO001,ITEM0049
PROMO001,ITEM0050
PROMO001,ITEM0051
PROMO001,ITEM0052
PROMO001,ITEM0053
PROMO001,ITEM0054
PROMO001,ITEM0055
PROMO001,ITEM0056
PROMO001,ITEM0057
PROMO001,ITEM0058
PROMO001,ITEM0059
PROMO001,ITEM0060
PROMO001,ITEM0061
PROMO001,ITEM0062
PROMO001,ITEM0063
PROMO001,ITEM0064
PROMO001,ITEM0065
PROMO001,ITEM0066
PROMO001,ITEM0067
PROMO001,ITEM0068
PROMO001,ITEM0069
PROMO001,ITEM0070
PROMO001,ITEM0071
PROMO001,ITEM0072
PROMO001,ITEM0073
PROMO001,ITEM0074
PROMO001,ITEM0075
PROMO001,ITEM0076
PROMO001,ITEM0077
PROMO001,ITEM0081
PROMO001,ITEM0082
PROMO001,ITEM0083
PROMO001,ITEM0084
PROMO001,ITEM0085
PROMO001,ITEM0086
