promotion_id,location_id
PROMO001,LOC0001
PROMO001,LOC0002
PROMO001,LOC0003
PROMO001,LOC0004
PROMO001,LOC0005
PROMO001,LOC0006
PROMO001,LOC0007
PROMO001,LOC0008
PROMO001,LOC0009
PROMO001,LOC0010
PROMO001,LOC0011
PROMO001,LOC0012
PROMO001,LOC0013
PROMO001,LOC0014
PROMO001,LOC0015
PROMO001,LOC0016
PROMO001,LOC0017
PROMO001,LOC0018
PROMO001,LOC0019
PROMO001,LOC0020
PROMO001,LOC0021
PROMO001,LOC0022
PROMO001,LOC0023
PROMO001,LOC0024
PROMO001,LOC0025
PROMO002,LOC0001
PROMO002,LOC0002
PROMO002,LOC0003
PROMO002,LOC0004
PROMO002,LOC0005
PROMO002,LOC0006
PROMO002,LOC0007
PROMO002,LOC0008
PROMO002,LOC0009
PROMO002,LOC0010
PROMO002,LOC0011
PROMO002,LOC0012
PROMO002,LOC0013
PROMO002,LOC0014
PROMO002,LOC0015
PROMO002,LOC0016
PROMO002,LOC0017
PROMO002,LOC0018
PROMO002,LOC0019
PROMO002,LOC0020
PROMO002,LOC0021
PROMO002,LOC0022
PROMO002,LOC0023
PROMO002,LOC0024
PROMO002,LOC0025
PROMO003,LOC0001
PROMO003,LOC0003
PROMO003,LOC0004
PROMO003,LOC0007
PROMO003,LOC0008
PROMO003,LOC0009
PROMO003,LOC0012
PROMO003,LOC0013
PROMO003,LOC0014
PROMO003,LOC0015
PROMO003,LOC0017
PROMO003,LOC0018
PROMO003,LOC0019
PROMO003,LOC0020
PROMO003,LOC0022
PROMO003,LOC0023
PROMO004,LOC0001
PROMO004,LOC0002
PROMO004,LOC0003
PROMO004,LOC0004
PROMO004,LOC0005
PROMO004,LOC0006
PROMO004,LOC0007
PROMO004,LOC0008
PROMO004,LOC0009
PROMO004,LOC0010
PROMO004,LOC0011
PROMO004,LOC0012
PROMO004,LOC0013
PROMO004,LOC0014
PROMO004,LOC0015
PROMO004,LOC0016
PROMO004,LOC0017
PROMO004,LOC0018
PROMO004,LOC0019
PROMO004,LOC0020
PROMO004,LOC0021
PROMO004,LOC0022
PROMO004,LOC0023
PROMO004,LOC0024
PROMO004,LOC0025
PROMO005,LOC0001
PROMO005,LOC0002
PROMO005,LOC0003
PROMO005,LOC0004
PROMO005,LOC0005
PROMO005,LOC0006
PROMO005,LOC0007
PROMO005,LOC0008
PROMO005,LOC0009
PROMO005,LOC0010
PROMO005,LOC0011
PROMO005,LOC0012
PROMO005,LOC0013
PROMO005,LOC0014
PROMO005,LOC0015
PROMO005,LOC0016
PROMO005,LOC0017
PROMO005,LOC0018
PROMO005,LOC0019
PROMO005,LOC0020
PROMO005,LOC0021
PROMO005,LOC0022
PROMO005,LOC0023
PROMO005,LOC0024
PROMO005,LOC0025
PROMO006,LOC0001
PROMO006,LOC0002
PROMO006,LOC0003
PROMO006,LOC0004
PROMO006,LOC0005
PROMO006,LOC0006
PROMO006,LOC0007
PROMO006,LOC0008
PROMO006,LOC0009
PROMO006,LOC0010
PROMO006,LOC0011
PROMO006,LOC0012
PROMO006,LOC0013
PROMO006,LOC0014
PROMO006,LOC0015
PROMO006,LOC0016
PROMO006,LOC0017
PROMO006,LOC0018
PROMO006,LOC0019
PROMO006,LOC0020
PROMO006,LOC0021
PROMO006,LOC0022
PROMO006,LOC0023
PROMO006,LOC0024
PROMO006,LOC0025
PROMO007,LOC0001
PROMO007,LOC0002
PROMO007,LOC0003
PROMO007,LOC0004
PROMO007,LOC0005
PROMO007,LOC0006
PROMO007,LOC0007
PROMO007,LOC0008
PROMO007,LOC0009
PROMO007,LOC0010
PROMO007,LOC0011
PROMO007,LOC0012
PROMO007,LOC0013
PROMO007,LOC0014
PROMO007,LOC0015
PROMO007,LOC0016
PROMO007,LOC0017
PROMO007,LOC0018
PROMO007,LOC0019
PROMO007,LOC0020
PROMO007,LOC0021
PROMO007,LOC0022
PROMO007,LOC0023
PROMO007,LOC0024
PROMO007,LOC0025
PROMO008,LOC0003
PROMO008,LOC0009
PROMO008,LOC0014
PROMO008,LOC0018
PROMO009,LOC0006
PROMO009,LOC0024
PROMO009,LOC0025
PROMO010,LOC0001
PROMO010,LOC0002
PROMO010,LOC0003
PROMO010,LOC0004
PROMO010,LOC0005
PROMO010,LOC0006
PROMO010,LOC0007
PROMO010,LOC0008
PROMO010,LOC0009
PROMO010,LOC0010
PROMO010,LOC0011
PROMO010,LOC0012
PROMO010,LOC0013
PROMO010,LOC0014
PROMO010,LOC0015
PROMO010,LOC0016
PROMO010,LOC0017
PROMO010,LOC0018
PROMO010,LOC0019
PROMO010,LOC0020
PROMO010,LOC0021
PROMO010,LOC0022
PROMO010,LOC0023
PROMO010,LOC0024
PROMO010,LOC0025
PROMO011,LOC0001
PROMO011,LOC0002
PROMO011,LOC0003
PROMO011,LOC0004
PROMO011,LOC0005
PROMO011,LOC0006
PROMO011,LOC0007
PROMO011,LOC0008
PROMO011,LOC0009
PROMO011,LOC0010
PROMO011,LOC0011
PROMO011,LOC0012
PROMO011,LOC0013
PROMO011,LOC0014
PROMO011,LOC0015
PROMO011,LOC0016
PROMO011,LOC0017
PROMO011,LOC0018
PROMO011,LOC0019
PROMO011,LOC0020
PROMO011,LOC0021
PROMO011,LOC0022
PROMO011,LOC0023
PROMO011,LOC0024
PROMO011,LOC0025
PROMO012,LOC0001
PROMO012,LOC0002
PROMO012,LOC0003
PROMO012,LOC0004
PROMO012,LOC0005
PROMO012,LOC0006
PROMO012,LOC0007
PROMO012,LOC0008
PROMO012,LOC0009
PROMO012,LOC0010
PROMO012,LOC0011
PROMO012,LOC0012
PROMO012,LOC0013
PROMO012,LOC0014
PROMO012,LOC0015
PROMO012,LOC0016
PROMO012,LOC0017
PROMO012,LOC0018
PROMO012,LOC0019
PROMO012,LOC0020
PROMO012,LOC0021
PROMO012,LOC0022
PROMO012,LOC0023
PROMO012,LOC0024
PROMO012,LOC0025
PROMO013,LOC0001
PROMO013,LOC0002
PROMO013,LOC0003
PROMO013,LOC0004
PROMO013,LOC0005
PROMO013,LOC0006
PROMO013,LOC0007
PROMO013,LOC0008
PROMO013,LOC0009
PROMO013,LOC0010
PROMO013,LOC0011
PROMO013,LOC0012
PROMO013,LOC0013
PROMO013,LOC0014
PROMO013,LOC0015
PROMO013,LOC0016
PROMO013,LOC0017
PROMO013,LOC0018
PROMO013,LOC0019
PROMO013,LOC0020
PROMO013,LOC0021
PROMO013,LOC0022
PROMO013,LOC0023
PROMO013,LOC0024
PROMO013,LOC0025
PROMO014,LOC0001
PROMO014,LOC0004
PROMO014,LOC0007
PROMO014,LOC0008
PROMO014,LOC0012
PROMO014,LOC0013
PROMO014,LOC0015
PROMO014,LOC0017
PROMO014,LOC0019
PROMO014,LOC0020
PROMO014,LOC0022
PROMO014,LOC0023
PROMO015,LOC0001
PROMO015,LOC0002
PROMO015,LOC0003
PROMO015,LOC0004
PROMO015,LOC0005
PROMO015,LOC0006
PROMO015,LOC0007
PROMO015,LOC0008
PROMO015,LOC0009
PROMO015,LOC0010
PROMO015,LOC0011
PROMO015,LOC0012
PROMO015,LOC0013
PROMO015,LOC0014
PROMO016,LOC0001
PROMO016,LOC0002
PROMO016,LOC0003
PROMO016,LOC0004
PROMO016,LOC0005
PROMO016,LOC0006
PROMO016,LOC0007
PROMO016,LOC0008
PROMO016,LOC0009
PROMO016,LOC0010
PROMO016,LOC0011
PROMO016,LOC0012
PROMO016,LOC0013
PROMO016,LOC0014
PROMO016,LOC0015
PROMO016,LOC0016
PROMO016,LOC0017
PROMO016,LOC0018
PROMO016,LOC0019
PROMO016,LOC0020
PROMO016,LOC0021
PROMO016,LOC0022
PROMO016,LOC0023
PROMO016,LOC0024
PROMO016,LOC0025
PROMO017,LOC0001
PROMO017,LOC0002
PROMO017,LOC0003
PROMO017,LOC0004
PROMO017,LOC0005
PROMO017,LOC0006
PROMO017,LOC0007
PROMO017,LOC0008
PROMO017,LOC0009
PROMO017,LOC0010
PROMO017,LOC0011
PROMO017,LOC0012
PROMO017,LOC0013
PROMO017,LOC0014
PROMO017,LOC0015
PROMO017,LOC0016
PROMO017,LOC0017
PROMO017,LOC0018
PROMO017,LOC0019
PROMO017,LOC0020
PROMO017,LOC0021
PROMO017,LOC0022
PROMO017,LOC0023
PROMO017,LOC0024
PROMO017,LOC0025
PROMO018,LOC0001
PROMO018,LOC0002
PROMO018,LOC0003
PROMO018,LOC0004
PROMO018,LOC0005
PROMO018,LOC0006
PROMO018,LOC0007
PROMO018,LOC0008
PROMO018,LOC0009
PROMO018,LOC0010
PROMO018,LOC0011
PROMO018,LOC0012
PROMO018,LOC0013
PROMO018,LOC0014
PROMO018,LOC0015
PROMO018,LOC0016
PROMO018,LOC0017
PROMO018,LOC0018
PROMO018,LOC0019
PROMO018,LOC0020
PROMO018,LOC0021
PROMO018,LOC0022
PROMO018,LOC0023
PROMO018,LOC0024
PROMO018,LOC0025
PROMO019,LOC0001
PROMO019,LOC0002
PROMO019,LOC0003
PROMO019,LOC0004
PROMO019,LOC0005
PROMO019,LOC0006
PROMO019,LOC0007
PROMO019,LOC0008
PROMO019,LOC0009
PROMO019,LOC0010
PROMO019,LOC0011
PROMO019,LOC0012
PROMO019,LOC0013
PROMO019,LOC0014
PROMO019,LOC0015
PROMO019,LOC0016
PROMO019,LOC0017
PROMO019,LOC0018
PROMO019,LOC0019
PROMO019,LOC0020
PROMO019,LOC0021
PROMO019,LOC0022
PROMO019,LOC0023
PROMO019,LOC0024
PROMO019,LOC0025
PROMO020,LOC0001
PROMO020,LOC0002
PROMO020,LOC0003
PROMO020,LOC0004
PROMO020,LOC0005
PROMO020,LOC0006
PROMO020,LOC0007
PROMO020,LOC0008
PROMO020,LOC0009
PROMO020,LOC0010
PROMO020,LOC0011
PROMO020,LOC0012
PROMO020,LOC0013
PROMO020,LOC0014
PROMO020,LOC0015
PROMO020,LOC0016
PROMO020,LOC0017
PROMO020,LOC0018
PROMO020,LOC0019
PROMO020,LOC0020
PROMO020,LOC0021
PROMO020,LOC0022
PROMO020,LOC0023
PROMO020,LOC0024
PROMO020,LOC0025
