rating_id,customer_id,item_id,location_id,order_id,rating_value,rating_date,review_text
RAT0000001,CUST0009946,ITEM0148,LOC0020,ORD00000291,3,2025-01-01,It was okay.
RAT0000002,CUST0010086,ITEM0048,LOC0016,ORD00000260,4,2025-01-01,
RAT0000003,CUST0029995,ITEM0027,LOC0023,ORD00000336,4,2025-01-01,
RAT0000004,CUST0017983,ITEM0003,LOC0012,ORD00000099,3,2025-01-01,Good taste but late delivery.
RAT0000005,CUST0041896,ITEM0094,LOC0014,ORD00000239,3,2025-01-01,It was okay.
RAT0000006,CUST0054307,,LOC0010,ORD00000303,4,2025-01-01,Nice ambience and good service.
RAT0000007,CUST0032219,ITEM0061,LOC0015,ORD00000038,1,2025-01-01,
RAT0000008,CUST0005979,ITEM0139,LOC0012,ORD00000081,4,2025-01-01,
RAT0000009,CUST0009427,ITEM0119,LOC0005,ORD00000293,4,2025-01-01,
RAT0000011,CUST0019909,,LOC0023,ORD00000322,5,2025-01-01,
RAT0000012,CUST0045666,ITEM0157,LOC0023,ORD00000392,5,2025-01-01,Perfect taste and quick service.
RAT0000013,CUST0039970,ITEM0075,LOC0020,ORD00000252,3,2025-01-01,
RAT0000014,CUST0045806,ITEM0136,LOC0025,ORD00000265,4,2025-01-01,
RAT0000015,CUST0026067,ITEM0148,LOC0004,ORD00000182,3,2025-01-01,
RAT0000017,CUST0040048,ITEM0151,LOC0008,ORD00000180,5,2025-01-01,
RAT0000019,CUST0041896,ITEM0126,LOC0014,ORD00000239,3,2025-01-01,"Taste was fine, packaging poor."
RAT0000020,CUST0010900,ITEM0122,LOC0018,ORD00000107,4,2025-01-01,Tasty and fresh.
RAT0000021,CUST0026067,ITEM0023,LOC0004,ORD00000182,2,2025-01-01,Took too long to arrive.
RAT0000022,CUST0033345,ITEM0037,LOC0016,ORD00000263,5,2025-01-01,
RAT0000023,CUST0045872,ITEM0058,LOC0018,ORD00000177,4,2025-01-01,
RAT0000024,CUST0023419,ITEM0061,LOC0016,ORD00000082,3,2025-01-01,"Average, nothing special."
RAT0000026,CUST0047809,ITEM0146,LOC0013,ORD00000124,3,2025-01-01,Decent but overpriced.
RAT0000027,CUST0000626,ITEM0048,LOC0004,ORD00000215,5,2025-01-01,
RAT0000028,CUST0046140,ITEM0045,LOC0015,ORD00000406,4,2025-01-01,
RAT0000029,CUST0014305,,LOC0007,ORD00000181,4,2025-01-01,
RAT0000030,CUST0012459,,LOC0016,ORD00000378,4,2025-01-01,
RAT0000031,CUST0005801,,LOC0016,ORD00000160,3,2025-01-01,"Average, nothing special."
RAT0000032,CUST0029420,ITEM0061,LOC0005,ORD00000280,2,2025-01-01,Portion was too small.
RAT0000033,CUST0019638,ITEM0147,LOC0021,ORD00000276,4,2025-01-01,Good value for money.
RAT0000034,CUST0004691,,LOC0007,ORD00000288,3,2025-01-01,Decent but overpriced.
RAT0000036,CUST0036653,,LOC0008,ORD00000327,4,2025-01-01,
RAT0000037,CUST0002087,ITEM0082,LOC0022,ORD00000294,2,2025-01-01,
RAT0000038,CUST0029787,ITEM0076,LOC0005,ORD00000211,4,2025-01-01,
RAT0000039,CUST0037722,ITEM0050,LOC0013,ORD00000055,4,2025-01-01,Enjoyed the meal.
RAT0000040,CUST0003069,ITEM0043,LOC0003,ORD00000404,3,2025-01-01,"Taste was fine, packaging poor."
RAT0000041,CUST0019452,ITEM0068,LOC0014,ORD00000217,4,2025-01-01,Good value for money.
RAT0000042,CUST0039503,ITEM0069,LOC0011,ORD00000254,4,2025-01-01,
RAT0000043,CUST0043537,ITEM0081,LOC0019,ORD00000194,2,2025-01-01,Service was slow.
RAT0000044,CUST0021314,ITEM0066,LOC0019,ORD00000361,3,2025-01-01,
RAT0000045,CUST0040430,,LOC0012,ORD00000397,3,2025-01-01,
RAT0000046,CUST0002658,ITEM0113,LOC0025,ORD00000419,5,2025-01-01,Highly recommended.
RAT0000047,CUST0014693,ITEM0124,LOC0008,ORD00000052,5,2025-01-01,
RAT0000048,CUST0028967,ITEM0029,LOC0005,ORD00000347,5,2025-01-01,
RAT0000049,CUST0046169,ITEM0077,LOC0002,ORD00000296,4,2025-01-01,
RAT0000050,CUST0038980,ITEM0092,LOC0020,ORD00000380,3,2025-01-01,
RAT0000051,CUST0020360,ITEM0014,LOC0007,ORD00000145,4,2025-01-01,Good value for money.
RAT0000052,CUST0046894,ITEM0110,LOC0008,ORD00000205,5,2025-01-01,
RAT0000053,CUST0012300,ITEM0033,LOC0025,ORD00000370,4,2025-01-01,
RAT0000054,CUST0036625,ITEM0131,LOC0008,ORD00000192,4,2025-01-01,
RAT0000055,CUST0007095,ITEM0061,LOC0023,ORD00000222,2,2025-01-01,Below average taste.
RAT0000056,CUST0047473,,LOC0021,ORD00000155,3,2025-01-01,
RAT0000057,CUST0032000,ITEM0134,LOC0003,ORD00000027,5,2025-01-01,Amazing food and friendly staff.
RAT0000058,CUST0052183,ITEM0054,LOC0017,ORD00000350,2,2025-01-01,
RAT0000059,CUST0028100,ITEM0096,LOC0004,ORD00000100,5,2025-01-01,"Excellent, loved it!"
RAT0000060,CUST0034420,ITEM0076,LOC0013,ORD00000172,4,2025-01-01,
RAT0000061,CUST0048574,ITEM0046,LOC0018,ORD00000047,4,2025-01-01,
RAT0000062,CUST0053180,ITEM0106,LOC0004,ORD00000161,4,2025-01-01,
RAT0000063,CUST0013163,ITEM0022,LOC0008,ORD00000076,5,2025-01-01,
RAT0000064,CUST0051168,,LOC0022,ORD00000003,5,2025-01-01,Amazing food and friendly staff.
RAT0000065,CUST0026789,ITEM0134,LOC0018,ORD00000297,4,2025-01-01,"Good food, will order again."
RAT0000066,CUST0038028,ITEM0109,LOC0020,ORD00000244,4,2025-01-01,
RAT0000069,CUST0011452,ITEM0018,LOC0013,ORD00000064,4,2025-01-01,
RAT0000071,CUST0054670,ITEM0054,LOC0005,ORD00000311,4,2025-01-01,Good value for money.
RAT0000072,CUST0012300,ITEM0141,LOC0025,ORD00000370,2,2025-01-01,Below average taste.
RAT0000073,CUST0025487,ITEM0052,LOC0003,ORD00000363,2,2025-01-01,
RAT0000074,CUST0053180,ITEM0117,LOC0004,ORD00000161,5,2025-01-01,"Excellent, loved it!"
RAT0000075,CUST0030258,ITEM0066,LOC0020,ORD00000058,4,2025-01-01,
RAT0000076,CUST0053546,ITEM0081,LOC0015,ORD00000264,3,2025-01-01,
RAT0000077,CUST0046174,ITEM0081,LOC0015,ORD00000230,4,2025-01-01,Tasty and fresh.
RAT0000078,CUST0029787,ITEM0159,LOC0005,ORD00000211,5,2025-01-01,
RAT0000079,CUST0035772,ITEM0054,LOC0002,ORD00000240,3,2025-01-01,Decent but overpriced.
RAT0000080,CUST0019909,ITEM0034,LOC0023,ORD00000322,3,2025-01-01,
RAT0000081,CUST0045795,ITEM0099,LOC0008,ORD00000241,5,2025-01-01,
RAT0000082,CUST0036303,ITEM0014,LOC0004,ORD00000317,4,2025-01-01,
RAT0000083,CUST0006690,,LOC0002,ORD00000319,4,2025-01-01,
RAT0000084,CUST0022811,,LOC0023,ORD00000085,4,2025-01-01,
RAT0000085,CUST0025549,ITEM0055,LOC0017,ORD00000299,3,2025-01-01,"Average, nothing special."
RAT0000086,CUST0040430,ITEM0107,LOC0012,ORD00000397,5,2025-01-01,
RAT0000087,CUST0052199,ITEM0089,LOC0015,ORD00000272,4,2025-01-01,Tasty and fresh.
RAT0000088,CUST0016727,ITEM0124,LOC0002,ORD00000173,4,2025-01-01,Good value for money.
RAT0000089,CUST0052655,ITEM0022,LOC0003,ORD00000382,5,2025-01-01,Best in town.
RAT0000090,CUST0026067,,LOC0004,ORD00000182,4,2025-01-01,"Good food, will order again."
RAT0000091,CUST0008446,ITEM0046,LOC0020,ORD00000251,3,2025-01-01,
RAT0000092,CUST0022162,ITEM0084,LOC0010,ORD00000105,3,2025-01-01,
RAT0000093,CUST0052199,ITEM0075,LOC0015,ORD00000272,2,2025-01-01,Below average taste.
RAT0000094,CUST0016727,ITEM0066,LOC0002,ORD00000173,4,2025-01-01,
RAT0000095,CUST0000939,ITEM0105,LOC0002,ORD00000158,4,2025-01-01,
RAT0000096,CUST0052199,,LOC0015,ORD00000272,4,2025-01-01,
RAT0000097,CUST0035772,ITEM0133,LOC0002,ORD00000240,3,2025-01-01,
RAT0000098,CUST0047030,ITEM0054,LOC0008,ORD00000399,4,2025-01-01,
RAT0000099,CUST0024196,ITEM0054,LOC0005,ORD00000284,4,2025-01-01,
RAT0000100,CUST0011553,ITEM0017,LOC0008,ORD00000021,5,2025-01-01,
RAT0000101,CUST0046140,,LOC0015,ORD00000406,5,2025-01-01,Highly recommended.
RAT0000102,CUST0013356,,LOC0005,ORD00000408,2,2025-01-01,
RAT0000103,CUST0037419,ITEM0045,LOC0023,ORD00000224,4,2025-01-01,
RAT0000104,CUST0040114,ITEM0055,LOC0006,ORD00000212,5,2025-01-01,Amazing food and friendly staff.
RAT0000105,CUST0035633,ITEM0148,LOC0023,ORD00000013,2,2025-01-01,
