wastage_id,item_id,location_id,date,quantity_wasted,unit,cost_of_waste,reason
WST0004760,ITEM0001,LOC0001,2025-01-30,1.000,pcs,88.66,Expired
WST0004918,ITEM0001,LOC0001,2025-01-31,1.000,pcs,88.66,Overproduction
WST0028394,ITEM0001,LOC0002,2025-06-24,1.000,pcs,93.07,PrepError
WST0006163,ITEM0001,LOC0004,2025-02-08,1.000,pcs,93.07,Spoilage
WST0009425,ITEM0001,LOC0015,2025-02-28,1.000,pcs,93.07,Spoilage
WST0010592,ITEM0001,LOC0015,2025-03-07,1.000,pcs,93.07,Overproduction
WST0005824,ITEM0001,LOC0020,2025-02-05,1.000,pcs,93.07,Overproduction
WST0021438,ITEM0001,LOC0021,2025-05-12,1.000,pcs,93.07,Expired
WST0013126,ITEM0001,LOC0022,2025-03-22,1.000,pcs,93.07,Spoilage
WST0033221,ITEM0001,LOC0024,2025-07-23,1.000,pcs,93.07,Expired
WST0054198,ITEM0001,LOC0024,2025-11-25,1.000,pcs,95.57,Spoilage
WST0050338,ITEM0001,LOC0025,2025-11-01,1.000,pcs,95.57,Overproduction
WST0056542,ITEM0001,LOC0025,2025-12-09,1.000,pcs,95.57,Expired
WST0026639,ITEM0002,LOC0005,2025-06-13,1.000,pcs,72.86,Expired
WST0011748,ITEM0002,LOC0011,2025-03-14,1.000,pcs,72.86,Expired
WST0016005,ITEM0002,LOC0012,2025-04-09,1.000,pcs,72.86,Spoilage
WST0027631,ITEM0002,LOC0012,2025-06-19,1.000,pcs,72.86,PrepError
WST0034676,ITEM0002,LOC0012,2025-08-01,1.000,pcs,72.86,Expired
WST0044782,ITEM0002,LOC0012,2025-09-28,1.000,pcs,75.87,Spoilage
WST0015425,ITEM0002,LOC0020,2025-04-05,1.000,pcs,72.86,Overproduction
WST0006770,ITEM0002,LOC0021,2025-02-11,1.000,pcs,72.86,PrepError
WST0027691,ITEM0002,LOC0022,2025-06-19,1.000,pcs,72.86,CustomerReturn
WST0040318,ITEM0003,LOC0002,2025-09-01,1.000,pcs,142.17,Expired
WST0045381,ITEM0003,LOC0002,2025-10-02,1.000,pcs,142.17,CustomerReturn
WST0040325,ITEM0003,LOC0003,2025-09-01,2.000,pcs,284.34,Expired
WST0000685,ITEM0003,LOC0004,2025-01-05,2.000,pcs,267.48,Spoilage
WST0034444,ITEM0003,LOC0004,2025-07-31,1.000,pcs,139.35,PrepError
WST0037364,ITEM0003,LOC0004,2025-08-16,1.000,pcs,139.35,Expired
WST0053742,ITEM0003,LOC0004,2025-11-23,1.000,pcs,142.17,PrepError
WST0019715,ITEM0003,LOC0005,2025-05-02,1.000,pcs,139.35,Overproduction
WST0041351,ITEM0003,LOC0007,2025-09-07,1.000,pcs,142.17,CustomerReturn
WST0045578,ITEM0003,LOC0008,2025-10-03,2.000,pcs,284.34,CustomerReturn
WST0002530,ITEM0003,LOC0010,2025-01-16,1.000,pcs,133.74,PrepError
WST0019907,ITEM0003,LOC0012,2025-05-03,1.000,pcs,139.35,Overproduction
WST0006964,ITEM0003,LOC0024,2025-02-12,1.000,pcs,139.35,CustomerReturn
WST0007439,ITEM0004,LOC0001,2025-02-16,2.000,pcs,428.60,Overproduction
WST0054215,ITEM0004,LOC0001,2025-11-26,2.000,pcs,440.28,Overproduction
WST0026274,ITEM0004,LOC0002,2025-06-11,1.000,pcs,214.30,CustomerReturn
WST0041970,ITEM0004,LOC0002,2025-09-11,1.000,pcs,220.14,Expired
WST0056557,ITEM0004,LOC0002,2025-12-10,1.000,pcs,220.14,PrepError
WST0058671,ITEM0004,LOC0002,2025-12-23,1.000,pcs,220.14,Expired
WST0023772,ITEM0004,LOC0003,2025-05-27,1.000,pcs,214.30,Overproduction
WST0039457,ITEM0004,LOC0004,2025-08-27,1.000,pcs,214.30,CustomerReturn
WST0039100,ITEM0004,LOC0007,2025-08-25,1.000,pcs,214.30,Overproduction
WST0055944,ITEM0004,LOC0007,2025-12-06,2.000,pcs,440.28,Overproduction
WST0018287,ITEM0004,LOC0008,2025-04-23,1.000,pcs,214.30,Expired
WST0050707,ITEM0004,LOC0008,2025-11-04,1.000,pcs,220.14,Overproduction
WST0023480,ITEM0004,LOC0011,2025-05-25,1.000,pcs,214.30,Expired
WST0036951,ITEM0004,LOC0018,2025-08-13,1.000,pcs,214.30,PrepError
WST0004559,ITEM0004,LOC0021,2025-01-28,1.000,pcs,205.81,Expired
WST0025905,ITEM0004,LOC0023,2025-06-08,1.000,pcs,214.30,Overproduction
WST0007746,ITEM0004,LOC0024,2025-02-17,1.000,pcs,214.30,Overproduction
WST0042091,ITEM0004,LOC0025,2025-09-11,2.000,pcs,440.28,Overproduction
WST0012678,ITEM0005,LOC0002,2025-03-20,1.000,pcs,149.00,PrepError
WST0013519,ITEM0005,LOC0006,2025-03-25,1.000,pcs,149.00,Overproduction
WST0040021,ITEM0005,LOC0007,2025-08-30,1.000,pcs,149.00,Overproduction
WST0051663,ITEM0005,LOC0008,2025-11-10,1.000,pcs,149.00,Expired
WST0044586,ITEM0005,LOC0009,2025-09-27,1.000,pcs,149.00,Overproduction
WST0030195,ITEM0005,LOC0012,2025-07-05,1.000,pcs,149.00,Expired
WST0018330,ITEM0005,LOC0015,2025-04-23,1.000,pcs,149.00,Expired
WST0034354,ITEM0005,LOC0017,2025-07-30,1.000,pcs,149.00,Overproduction
WST0035079,ITEM0005,LOC0017,2025-08-03,1.000,pcs,149.00,Overproduction
WST0004403,ITEM0005,LOC0024,2025-01-27,1.000,pcs,140.09,Expired
WST0019682,ITEM0005,LOC0025,2025-05-01,1.000,pcs,149.00,CustomerReturn
WST0007490,ITEM0006,LOC0008,2025-02-16,1.000,pcs,296.28,Spoilage
WST0058361,ITEM0006,LOC0008,2025-12-21,1.000,pcs,296.28,Expired
WST0042014,ITEM0006,LOC0010,2025-09-11,1.000,pcs,296.28,Spoilage
WST0059094,ITEM0006,LOC0010,2025-12-25,1.000,pcs,296.28,Spoilage
WST0055650,ITEM0006,LOC0012,2025-12-04,1.000,pcs,296.28,Expired
WST0041397,ITEM0006,LOC0014,2025-09-07,1.000,pcs,296.28,Expired
WST0055005,ITEM0006,LOC0015,2025-11-30,1.000,pcs,296.28,PrepError
WST0054693,ITEM0006,LOC0019,2025-11-28,1.000,pcs,296.28,PrepError
WST0043170,ITEM0006,LOC0021,2025-09-18,1.000,pcs,296.28,Spoilage
WST0034587,ITEM0006,LOC0024,2025-07-31,1.000,pcs,296.28,Overproduction
WST0050652,ITEM0006,LOC0024,2025-11-03,1.000,pcs,296.28,Overproduction
WST0059373,ITEM0006,LOC0025,2025-12-26,1.000,pcs,296.28,Overproduction
WST0014352,ITEM0007,LOC0001,2025-03-30,1.000,pcs,711.90,Spoilage
WST0018049,ITEM0007,LOC0001,2025-04-22,1.000,pcs,711.90,Overproduction
WST0035309,ITEM0007,LOC0001,2025-08-05,1.000,pcs,711.90,Expired
WST0051462,ITEM0007,LOC0002,2025-11-09,1.000,pcs,711.90,Overproduction
WST0007290,ITEM0007,LOC0003,2025-02-15,1.000,pcs,711.90,Overproduction
WST0021966,ITEM0007,LOC0003,2025-05-16,1.000,pcs,711.90,Overproduction
WST0050834,ITEM0007,LOC0003,2025-11-05,1.000,pcs,711.90,Expired
WST0055088,ITEM0007,LOC0003,2025-12-01,1.000,pcs,711.90,Spoilage
WST0024927,ITEM0007,LOC0005,2025-06-03,1.000,pcs,711.90,Expired
