customer_id,signup_date,age_group,gender,home_location_id,preferred_channel,loyalty_member,quarantine_reason
CUST0000176,2022-09-14,45-54,Male,LOC8680,Dine-in,false,invalid_location_reference
CUST0000188,2027-11-05,25-34,Male,,Dine-in,false,invalid_date
CUST0000223,2025-06-24,25-34,Female,LOC3166,App,true,invalid_location_reference
CUST0000258,2025-02-03,18-24,Undisclosed,LOC6168,Dine-in,false,invalid_location_reference
CUST0000397,2025-01-21,55+,Female,LOC0264,Dine-in,false,invalid_location_reference
CUST0000690,2025-02-22,25-34,Male,LOC1673,Dine-in,false,invalid_location_reference
CUST0000852,2022-07-15,45-54,Undisclosed,LOC8836,Website,false,invalid_location_reference
CUST0000867,2024-07-21,35-44,Female,LOC9937,Dine-in,false,invalid_location_reference
CUST0001032,2027-11-05,35-44,Female,LOC0013,Dine-in,true,invalid_date
CUST0001060,,35-44,Female,LOC0001,Dine-in,true,invalid_date
CUST0001094,2099-12-31,45-54,Female,LOC0024,Takeaway,false,invalid_date
CUST0001102,2027-11-05,35-44,Female,LOC0021,Takeaway,false,invalid_date
CUST0001378,2022-03-18,35-44,Female,LOC7073,Website,true,invalid_location_reference
CUST0001415,1970-01-01,25-34,Male,LOC0011,App,false,invalid_date
CUST0001456,2027-11-05,45-54,Male,LOC0005,Takeaway,false,invalid_date
CUST0001653,2024-07-17,35-44,Undisclosed,LOC6378,Dine-in,false,invalid_location_reference
CUST0001700,2024-07-15,25-34,Female,LOC7663,App,false,invalid_location_reference
CUST0001753,2024-06-05,45-54,Male,LOC4730,Takeaway,true,invalid_location_reference
CUST0002237,2023-08-10,45-54,Male,LOC9482,Dine-in,true,invalid_location_reference
CUST0002383,2022-07-05,45-54,Male,LOC5411,Takeaway,true,invalid_location_reference
CUST0002407,2031-07-22,18-24,Male,,ThirdPartyDelivery,true,invalid_date
CUST0002523,2099-12-31,35-44,Male,LOC0013,Dine-in,false,invalid_date
CUST0002617,2024-01-19,45-54,Male,LOC9126,ThirdPartyDelivery,true,invalid_location_reference
CUST0002710,2025-08-05,35-44,Male,LOC0505,App,false,invalid_location_reference
CUST0003275,,18-24,Male,LOC0019,App,false,invalid_date
CUST0003293,,18-24,Male,LOC0008,Dine-in,false,invalid_date
CUST0003314,2027-11-05,25-34,Male,LOC0004,ThirdPartyDelivery,false,invalid_date
CUST0003494,2025-07-13,18-24,Male,LOC1257,App,true,invalid_location_reference
CUST0003595,1970-01-01,25-34,Undisclosed,LOC0014,App,false,invalid_date
CUST0003653,,18-24,Female,,Dine-in,true,invalid_date
CUST0003766,2025-09-08,18-24,Undisclosed,LOC1338,App,false,invalid_location_reference
CUST0003773,,35-44,Male,LOC0015,Dine-in,true,invalid_date
CUST0004130,2024-04-06,55+,Female,LOC7523,Dine-in,false,invalid_location_reference
CUST0004149,,35-44,Male,LOC0007,Dine-in,true,invalid_date
