inventory_id,item_id,location_id,date,opening_stock,received_stock,prepared_quantity,consumed_stock,closing_stock,unit,quarantine_reason
INV00000100,ITEM4270,LOC0001,2025-01-01,2.000,0.000,1.000,0.000,2.000,pcs,orphan_foreign_key
INV00000583,ITEM4969,LOC0005,2025-01-01,0.310,0.000,0.210,0.000,0.310,kg,orphan_foreign_key
INV00000799,ITEM4365,LOC0006,2025-01-01,0.260,0.000,0.170,0.000,0.260,liters,orphan_foreign_key
INV00001042,ITEM3663,LOC0008,2025-01-01,2.000,0.000,1.000,0.000,2.000,pcs,orphan_foreign_key
INV00001534,ITEM7183,LOC0012,2025-01-01,0.880,0.000,0.690,0.400,0.480,kg,orphan_foreign_key
INV00001815,ITEM9355,LOC0014,2025-01-01,4.000,0.000,2.000,1.000,3.000,pcs,orphan_foreign_key
INV00002230,ITEM6177,LOC0017,2025-01-01,2.000,0.000,1.000,0.000,2.000,pcs,orphan_foreign_key
INV00002497,ITEM6394,LOC0019,2025-01-01,3.000,0.000,2.000,1.000,2.000,pcs,orphan_foreign_key
INV00002781,ITEM1214,LOC0021,2025-01-01,1.000,2.000,1.000,0.000,3.000,pcs,orphan_foreign_key
INV00002951,ITEM5367,LOC0022,2025-01-01,3.000,0.000,2.000,1.000,2.000,pcs,orphan_foreign_key
INV00003189,ITEM1309,LOC0024,2025-01-01,6.000,0.000,3.000,2.000,4.000,pcs,orphan_foreign_key
INV00003478,ITEM1681,LOC0001,2025-01-02,0.090,0.000,0.050,0.000,0.090,kg,orphan_foreign_key
INV00003657,ITEM2038,LOC0002,2025-01-02,3.000,0.000,2.000,0.000,3.000,pcs,orphan_foreign_key
INV00003702,ITEM4693,LOC0003,2025-01-02,1.970,4.560,2.920,1.500,4.170,kg,orphan_foreign_key
INV00004191,ITEM2360,LOC0006,2025-01-02,0.040,0.000,0.030,0.000,0.040,liters,orphan_foreign_key
INV00004747,ITEM3664,LOC0011,2025-01-02,0.070,0.000,0.050,0.000,0.070,liters,orphan_foreign_key
INV00004819,ITEM7002,LOC0011,2025-01-02,2.000,0.000,1.000,0.000,2.000,pcs,orphan_foreign_key
INV00005174,ITEM2420,LOC0014,2025-01-02,0.270,1.080,0.600,0.600,0.750,kg,orphan_foreign_key
INV00005252,ITEM0307,LOC0014,2025-01-02,0.270,0.000,0.120,0.000,0.270,liters,orphan_foreign_key
INV00005405,ITEM7385,LOC0015,2025-01-02,0.250,0.000,0.140,0.000,0.250,liters,orphan_foreign_key
INV00005742,ITEM1499,LOC0018,2025-01-02,0.620,0.000,0.490,0.400,0.190,kg,orphan_foreign_key
INV00006738,ITEM2779,LOC0025,2025-01-02,0.070,2.230,0.800,0.700,1.600,kg,orphan_foreign_key
INV00006891,ITEM1737,LOC0001,2025-01-03,1.560,0.000,0.180,0.000,1.510,liters,orphan_foreign_key
INV00007839,ITEM8411,LOC0008,2025-01-03,0.360,0.000,0.120,0.000,0.360,liters,orphan_foreign_key
INV00008167,ITEM6231,LOC0011,2025-01-03,0.260,0.000,0.210,0.000,0.260,kg,orphan_foreign_key
INV00008465,ITEM7139,LOC0013,2025-01-03,7.000,0.000,3.000,2.000,5.000,pcs,orphan_foreign_key
INV00008574,ITEM4876,LOC0014,2025-01-03,0.830,2.220,1.060,0.500,2.550,kg,orphan_foreign_key
INV00009192,ITEM0666,LOC0018,2025-01-03,5.220,0.000,3.850,3.850,1.370,liters,orphan_foreign_key
INV00009309,ITEM5816,LOC0019,2025-01-03,0.060,1.000,0.380,0.350,0.710,kg,orphan_foreign_key
INV00009457,ITEM0521,LOC0020,2025-01-03,2.000,0.000,1.000,0.000,2.000,pcs,orphan_foreign_key
INV00010006,ITEM8054,LOC0024,2025-01-03,2.000,0.000,1.000,0.000,2.000,pcs,orphan_foreign_key
INV00010491,ITEM2991,LOC0003,2025-01-04,3.100,10.620,6.000,6.000,7.720,kg,orphan_foreign_key
INV00010887,ITEM7434,LOC0006,2025-01-04,1.850,0.000,0.610,0.500,1.350,kg,orphan_foreign_key
INV00010896,ITEM0376,LOC0006,2025-01-04,0.750,0.000,0.500,0.500,0.250,kg,orphan_foreign_key
INV00010921,ITEM6822,LOC0006,2025-01-04,3.000,0.000,1.000,0.000,3.000,pcs,orphan_foreign_key
INV00010988,ITEM4883,LOC0007,2025-01-04,3.000,0.000,1.000,0.000,3.000,pcs,orphan_foreign_key
INV00011003,ITEM8371,LOC0007,2025-01-04,0.330,0.430,0.350,0.300,0.460,liters,orphan_foreign_key
INV00011014,ITEM7344,LOC0007,2025-01-04,0.170,0.690,0.360,0.300,0.560,kg,orphan_foreign_key
INV00011718,ITEM6970,LOC0012,2025-01-04,4.000,0.000,2.000,2.000,2.000,pcs,orphan_foreign_key
INV00012037,ITEM1701,LOC0014,2025-01-04,2.280,16.130,7.010,6.650,11.760,liters,orphan_foreign_key
INV00012536,ITEM2902,LOC0018,2025-01-04,4.000,14.000,6.000,4.000,14.000,pcs,orphan_foreign_key
INV00013201,ITEM1046,LOC0023,2025-01-04,6.330,0.000,5.000,5.000,1.330,kg,orphan_foreign_key
INV00013267,ITEM9589,LOC0023,2025-01-04,0.260,0.530,0.350,0.250,0.540,liters,orphan_foreign_key
INV00013804,ITEM1439,LOC0002,2025-01-05,1.880,0.000,1.430,1.000,0.880,liters,orphan_foreign_key
INV00015090,ITEM6082,LOC0012,2025-01-05,1.720,4.110,2.850,2.800,3.030,kg,orphan_foreign_key
INV00015130,ITEM5426,LOC0012,2025-01-05,0.050,0.000,0.040,0.000,0.050,kg,orphan_foreign_key
INV00015147,ITEM2385,LOC0012,2025-01-05,2.000,0.000,1.000,1.000,1.000,pcs,orphan_foreign_key
INV00015360,ITEM6736,LOC0014,2025-01-05,2.490,0.000,0.140,0.000,2.490,kg,orphan_foreign_key
INV00015536,ITEM9827,LOC0015,2025-01-05,2.000,0.000,1.000,0.000,2.000,pcs,orphan_foreign_key
INV00015657,ITEM8528,LOC0016,2025-01-05,1.000,2.000,1.000,0.000,3.000,pcs,orphan_foreign_key
INV00015993,ITEM0809,LOC0018,2025-01-05,6.000,13.000,8.000,6.000,13.000,pcs,orphan_foreign_key
INV00016042,ITEM8226,LOC0019,2025-01-05,0.250,0.000,0.170,0.000,0.250,kg,orphan_foreign_key
INV00016312,ITEM2167,LOC0021,2025-01-05,6.840,0.000,4.030,3.000,3.090,kg,orphan_foreign_key
INV00017695,ITEM3845,LOC0006,2025-01-06,2.000,0.000,1.000,0.000,2.000,pcs,orphan_foreign_key
INV00017920,ITEM3614,LOC0008,2025-01-06,3.000,0.000,1.000,0.000,3.000,pcs,orphan_foreign_key
INV00017968,ITEM9852,LOC0008,2025-01-06,2.000,6.000,3.000,2.000,6.000,pcs,orphan_foreign_key
INV00018013,ITEM8027,LOC0008,2025-01-06,4.840,6.250,4.590,3.500,7.590,liters,orphan_foreign_key
INV00018639,ITEM6285,LOC0013,2025-01-06,15.000,0.000,6.000,4.000,11.000,pcs,orphan_foreign_key
INV00019030,ITEM9380,LOC0016,2025-01-06,1.370,0.000,0.280,0.000,1.370,kg,orphan_foreign_key
INV00019048,ITEM2650,LOC0016,2025-01-06,4.000,0.000,1.000,0.000,4.000,pcs,orphan_foreign_key
INV00019130,ITEM4467,LOC0017,2025-01-06,0.610,0.000,0.300,0.300,0.310,liters,orphan_foreign_key
INV00019356,ITEM5944,LOC0018,2025-01-06,0.210,0.000,0.070,0.000,0.210,liters,orphan_foreign_key
INV00019997,ITEM9338,LOC0023,2025-01-06,3.000,0.000,2.000,1.000,2.000,pcs,orphan_foreign_key
INV00020277,ITEM6967,LOC0025,2025-01-06,7.000,17.000,9.000,7.000,17.000,pcs,orphan_foreign_key
INV00020331,ITEM2025,LOC0025,2025-01-06,3.000,0.000,2.000,2.000,1.000,pcs,orphan_foreign_key
INV00020522,ITEM6057,LOC0002,2025-01-07,2.600,0.000,1.220,0.500,2.100,kg,orphan_foreign_key
INV00020922,ITEM9286,LOC0005,2025-01-07,11.090,0.000,2.500,1.000,8.860,kg,orphan_foreign_key
INV00021359,ITEM0262,LOC0008,2025-01-07,4.000,0.000,1.000,0.000,4.000,pcs,orphan_foreign_key
INV00021442,ITEM4816,LOC0009,2025-01-07,1.800,0.000,0.510,0.000,1.800,kg,orphan_foreign_key
INV00021726,ITEM2643,LOC0011,2025-01-07,0.340,0.000,0.210,0.000,0.340,kg,orphan_foreign_key
INV00022528,ITEM4936,LOC0017,2025-01-07,2.000,0.000,1.000,0.000,2.000,pcs,orphan_foreign_key
