order_item_id,order_id,item_id,quantity,unit_price,unit_cost,discount_amount,line_total,quarantine_reason
OI000000051,ORD00000009,ITEM0129,1,550.00,174.84,0.00,550.00,orphan_foreign_key
OI000000085,ORD00000015,ITEM0022,1,480.00,164.43,0.00,480.00,orphan_foreign_key
OI000000088,ORD00000015,ITEM0068,2,650.00,449.04,0.00,1300.00,orphan_foreign_key
OI000000232,ORD00000040,,1,1450.00,490.96,0.00,1450.00,missing_value
OI000000349,ORD00000065,ITEM0048,2,1400.00,543.12,0.00,2800.00,orphan_foreign_key
OI000000350,ORD00000065,ITEM0050,2,1650.00,699.44,0.00,3300.00,orphan_foreign_key
OI000000397,ORD00000073,ITEM0160,2,100.00,44.23,0.00,200.00,orphan_foreign_key
OI000000451,ORD00000084,ITEM0067,2,300.00,102.15,0.00,600.00,orphan_foreign_key
OI000000489,ORD00000091,ITEM0081,1,1450.00,986.58,0.00,1450.00,orphan_foreign_key
OI000000491,ORD00000091,ITEM0112,1,300.00,131.51,0.00,300.00,orphan_foreign_key
OI000000579,ORD00000106,ITEM0081,2,1450.00,986.58,435.00,2465.00,orphan_foreign_key
OI000000689,ORD94756948,ITEM0009,1,450.00,166.20,0.00,450.00,orphan_foreign_key
OI000000761,ORD00000141,ITEM9252,1,1550.00,614.53,0.00,1550.00,orphan_foreign_key
OI000000928,ORD00000178,ITEM0005,3,400.00,140.09,0.00,1200.00,orphan_foreign_key
OI000001020,ORD00000192,ITEM2304,2,470.00,182.39,0.00,940.00,orphan_foreign_key
OI000001028,ORD81468936,ITEM0066,1,900.00,324.79,0.00,900.00,orphan_foreign_key
OI000001053,ORD00000198,ITEM0050,1,1650.00,699.44,247.50,1402.50,orphan_foreign_key
OI000001312,ORD00000247,ITEM0003,2,350.00,133.74,105.00,595.00,orphan_foreign_key
OI000001316,ORD00000247,ITEM0134,2,150.00,97.79,45.00,255.00,orphan_foreign_key
OI000001319,ORD00000247,ITEM0151,1,60.00,40.23,9.00,51.00,orphan_foreign_key
OI000001365,ORD80009492,ITEM0154,2,350.00,118.60,0.00,700.00,orphan_foreign_key
OI000001377,ORD00000258,ITEM0057,1,650.00,425.65,0.00,650.00,orphan_foreign_key
OI000001384,ORD00000258,ITEM0154,5,350.00,118.60,0.00,1750.00,orphan_foreign_key
OI000001490,ORD00000275,ITEM0137,2,300.00,106.56,0.00,600.00,orphan_foreign_key
OI000001599,ORD00000296,ITEM0099,-1,1250.00,446.14,0.00,1250.00,negative_quantity
OI000001624,ORD00000301,ITEM0053,1,1250.00,551.33,0.00,1250.00,orphan_foreign_key
OI000001626,ORD00000301,ITEM0073,1,800.00,313.51,0.00,800.00,orphan_foreign_key
OI000001629,ORD00000301,ITEM0134,2,,97.79,0.00,300.00,invalid_price
OI000001686,ORD00000312,ITEM0159,1,450.00,181.98,0.00,450.00,orphan_foreign_key
OI000001758,ORD00000326,ITEM0055,1,680.00,217.90,0.00,680.00,orphan_foreign_key
OI000001761,ORD00000326,ITEM0151,2,60.00,40.23,0.00,120.00,orphan_foreign_key
OI000001790,ORD00000332,ITEM0057,2,650.00,425.65,0.00,1300.00,orphan_foreign_key
OI000001888,ORD00000349,ITEM0150,1,,45.55,0.00,120.00,invalid_price
OI000001889,ORD00000349,ITEM0151,3,60.00,40.23,0.00,180.00,orphan_foreign_key
OI000001930,ORD00000356,,1,650.00,425.65,0.00,650.00,missing_value
OI000001993,ORD00000366,ITEM0001,1,250.00,88.66,0.00,250.00,orphan_foreign_key
OI000001994,ORD00000366,ITEM0033,1,850.00,287.18,0.00,850.00,orphan_foreign_key
OI000001997,ORD00000366,ITEM0057,1,650.00,425.65,0.00,650.00,orphan_foreign_key
OI000001999,ORD00000366,ITEM0074,1,1150.00,507.95,0.00,1150.00,orphan_foreign_key
OI000002000,ORD00000366,ITEM0147,1,440.00,139.41,0.00,440.00,orphan_foreign_key
OI000002072,ORD00000384,,1,500.00,177.58,0.00,500.00,missing_value
OI000002276,ORD00000423,ITEM0040,1,700.00,247.06,0.00,700.00,orphan_foreign_key
OI000002285,ORD00000424,ITEM0113,2,470.00,182.39,0.00,940.00,orphan_foreign_key
OI000002573,ORD29913045,ITEM0151,1,60.00,40.23,0.00,60.00,orphan_foreign_key
OI000002635,ORD00000488,,2,250.00,103.07,0.00,500.00,missing_value
OI000002648,ORD00000491,ITEM0005,1,400.00,140.09,60.00,340.00,orphan_foreign_key
OI000002698,ORD00000501,ITEM0065,1,1250.00,459.18,0.00,1250.00,orphan_foreign_key
OI000002699,ORD00000501,ITEM0075,1,600.00,252.86,0.00,600.00,orphan_foreign_key
OI000002702,ORD00000501,ITEM0112,1,300.00,131.51,0.00,300.00,orphan_foreign_key
OI000002724,ORD00000505,ITEM0092,1,1150.00,434.13,0.00,1150.00,orphan_foreign_key
OI000002725,ORD00000505,ITEM0098,2,1150.00,499.44,0.00,2300.00,orphan_foreign_key
OI000002726,ORD00000505,ITEM0148,3,300.00,200.34,0.00,900.00,orphan_foreign_key
OI000002967,ORD00000549,ITEM0134,3,150.00,97.79,0.00,450.00,orphan_foreign_key
OI000003111,ORD00000580,ITEM0151,1,60.00,40.23,0.00,60.00,orphan_foreign_key
OI000003191,ORD00000595,ITEM0055,-1,680.00,217.90,102.00,578.00,negative_quantity
OI000003258,ORD00000607,ITEM4081,2,1450.00,570.49,0.00,2900.00,orphan_foreign_key
OI000003281,ORD00000610,ITEM0125,2,295.00,115.01,0.00,590.00,orphan_foreign_key
OI000003318,ORD00000618,ITEM0073,2,800.00,313.51,240.00,1360.00,orphan_foreign_key
OI000003360,ORD00000627,ITEM0034,1,950.00,422.42,142.50,807.50,orphan_foreign_key
OI000003362,ORD00000627,ITEM0099,1,1250.00,446.14,187.50,1062.50,orphan_foreign_key
OI000003382,ORD00000631,,1,180.00,123.74,0.00,180.00,missing_value
OI000003517,ORD00000658,,1,180.00,123.74,0.00,180.00,missing_value
OI000003530,ORD00000661,ITEM0048,1,1400.00,543.12,0.00,1400.00,orphan_foreign_key
OI000003750,ORD00000703,ITEM0090,1,1750.00,627.19,0.00,1750.00,orphan_foreign_key
OI000003751,ORD00000703,ITEM0102,1,1360.00,584.85,0.00,1360.00,orphan_foreign_key
OI000003765,ORD00000705,ITEM0148,2,300.00,200.34,90.00,510.00,orphan_foreign_key
OI000003847,ORD00000719,,4,480.00,157.00,0.00,1920.00,missing_value
OI000003999,ORD00000747,ITEM0151,-1,60.00,40.23,0.00,60.00,negative_quantity
OI000004140,ORD69637378,ITEM0129,1,550.00,174.84,0.00,550.00,orphan_foreign_key
OI000004154,ORD00000779,ITEM8902,2,850.00,130.00,0.00,1700.00,orphan_foreign_key
OI000004215,ORD00000793,ITEM0134,3,150.00,97.79,0.00,450.00,orphan_foreign_key
OI000004372,ORD00000822,ITEM0050,-1,1650.00,699.44,0.00,1650.00,negative_quantity
OI000004469,ORD00000840,ITEM0088,2,1600.00,606.50,0.00,3200.00,orphan_foreign_key
