order_id,customer_id,location_id,order_datetime,order_channel,order_status,promotion_id,subtotal,discount_amount,tax_amount,total_amount,payment_method,quarantine_reason
ORD00000091,CUST0011892,LOC0015,2025-01-01 13:02:55,Website,Completed,,4720.00,0.00,755.20,5475.20,Online,orphan_foreign_key
ORD00000106,,LOC0017,2025-01-01 13:23:45,App,Completed,PROMO001,14380.00,2157.00,1955.68,14178.68,Online,missing_value
ORD00000178,,LOC0013,2025-01-01 16:51:18,Dine-in,Completed,,3960.00,0.00,594.00,4554.00,Cash,missing_value
ORD00000275,CUST0044901,LOC0003,2025-01-01 20:07:38,Takeaway,Completed,,1745.00,0.00,261.75,2006.75,Wallet,orphan_foreign_key
ORD00000326,CUST0044691,LOC5771,2025-01-01 21:11:37,Takeaway,Completed,,2750.00,0.00,412.50,3162.50,Cash,invalid_restaurant_id
ORD00000423,CUST0052741,LOC0014,2031-07-22 13:15:00,App,Completed,,8670.00,0.00,1300.50,9970.50,Online,invalid_date
ORD00000424,,LOC0023,2025-01-02 00:28:04,Dine-in,Completed,,4310.00,0.00,646.50,4956.50,Cash,missing_value
ORD00000509,,LOC0012,2025-01-02 12:59:19,Dine-in,Completed,PROMO001,16400.00,2460.00,2091.00,16031.00,Card,missing_value
ORD00000622,CUST2648069,LOC0012,2025-01-02 16:33:25,Takeaway,Completed,PROMO001,7730.00,1159.50,985.58,7556.08,Cash,orphan_foreign_key
ORD00000705,CUST8176693,LOC0009,2025-01-02 19:55:44,Dine-in,Cancelled,PROMO001,12100.00,1815.00,1645.60,11930.60,Wallet,orphan_foreign_key
ORD00001149,,LOC0023,2025-01-03 17:50:29,Dine-in,Completed,,7940.00,0.00,1191.00,9131.00,Cash,missing_value
ORD00001256,CUST0024692,LOC0003,2025-01-03 20:04:50,Dine-in,Completed,,11540.00,26187.31,1731.00,13271.00,Card,discount_exceeds_subtotal
ORD00001417,CUST0030462,LOC6570,2025-01-03 22:19:10,Takeaway,Completed,PROMO001,2790.00,418.50,355.72,2727.22,Wallet,invalid_restaurant_id
ORD00001444,CUST0013375,LOC0012,2025-01-03 22:51:28,App,Completed,PROMO001,7610.00,1141.50,970.28,7438.78,Card,orphan_foreign_key
ORD00001545,,LOC0014,2025-01-04 12:22:15,Website,Completed,,4920.00,0.00,738.00,5658.00,Online,missing_value
ORD00001736,,LOC0008,2025-01-04 14:58:25,Dine-in,Completed,,8965.00,0.00,1434.40,10399.40,Cash,missing_value
ORD00001788,,LOC0017,2025-01-04 17:10:30,App,Completed,PROMO001,5275.00,791.25,717.40,5201.15,Online,missing_value
ORD00001799,,LOC0024,2025-01-04 17:36:28,Takeaway,Completed,,9470.00,0.00,1515.20,10985.20,Wallet,missing_value
ORD00002006,CUST0015496,LOC0001,2025-01-04 21:09:07,Dine-in,Completed,,6870.00,0.00,1030.50,7900.50,Card,orphan_foreign_key
ORD00002132,CUST0011232,LOC0020,2025-01-04 22:40:52,ThirdPartyDelivery,Completed,,4500.00,0.00,675.00,5175.00,Online,orphan_foreign_key
ORD00002160,CUST0050495,LOC0012,1900-01-01 14:26:00,Dine-in,Completed,,5980.00,0.00,897.00,6877.00,Cash,invalid_date
ORD00002471,,LOC0006,2025-01-05 17:42:45,Dine-in,Completed,,7450.00,0.00,1117.50,8567.50,Card,missing_value
ORD00002595,,LOC0001,2025-01-05 20:07:57,Dine-in,Completed,PROMO001,3500.00,525.00,446.25,3421.25,Card,missing_value
ORD00002669,,LOC0017,2025-01-05 21:01:32,App,Completed,PROMO001,5340.00,801.00,726.24,5265.24,Cash,missing_value
ORD00002696,CUST0042676,LOC0018,2025-01-05 21:18:25,Takeaway,Completed,PROMO001,8950.00,12845.08,1217.20,8824.70,Card,discount_exceeds_subtotal
ORD00002931,CUST0023060,LOC0023,2025-01-06 14:00:14,App,Completed,,6060.00,8744.80,909.00,6969.00,Online,discount_exceeds_subtotal
ORD00002995,CUST0008045,LOC0007,2025-01-06 17:01:26,Dine-in,Completed,,2705.00,0.00,432.80,3137.80,Cash,orphan_foreign_key
ORD00003157,CUST0045758,LOC0003,2025-01-06 21:09:27,ThirdPartyDelivery,Completed,,5320.00,0.00,798.00,6118.00,Online,orphan_foreign_key
ORD00003317,CUST0011160,LOC0015,2025-01-07 12:24:24,Dine-in,Completed,PROMO001,8420.00,1263.00,1145.12,8302.12,Cash,orphan_foreign_key
ORD00003341,CUST0052543,LOC0023,2025-01-07 12:58:33,App,Completed,,9050.00,0.00,1357.50,10407.50,Card,orphan_foreign_key
ORD00003388,CUST0012671,LOC0014,2025-01-07 14:03:14,ThirdPartyDelivery,Completed,,1050.00,2545.25,157.50,1207.50,Online,discount_exceeds_subtotal
ORD00003432,,LOC0021,2025-01-07 16:53:18,Takeaway,Completed,PROMO001,3900.00,585.00,497.25,3812.25,Wallet,missing_value
ORD00003564,CUST0034456,LOC0003,2025-01-07 20:38:41,Takeaway,Completed,,3420.00,0.00,513.00,3933.00,Cash,orphan_foreign_key
ORD00004330,CUST0052272,LOC0020,,ThirdPartyDelivery,Completed,,2830.00,0.00,424.50,3254.50,Cash,invalid_date
ORD00004570,CUST0021082,LOC0886,2025-01-09 22:17:01,App,Completed,,9750.00,0.00,1560.00,11310.00,Online,invalid_restaurant_id
ORD00004673,CUST0029237,LOC3986,2025-01-10 12:12:59,App,Completed,,5830.00,0.00,874.50,6704.50,Online,invalid_restaurant_id
ORD00005246,CUST0049833,LOC6182,2025-01-10 22:48:19,Dine-in,Completed,,9150.00,0.00,1372.50,10522.50,Card,invalid_restaurant_id
ORD00005286,,LOC0002,2025-01-11 00:07:46,App,Completed,PROMO002,5530.00,120.00,811.50,6221.50,Online,missing_value
ORD00005365,,LOC0015,2025-01-11 12:29:19,Takeaway,Completed,,8720.00,0.00,1395.20,10115.20,Cash,missing_value
ORD00005416,CUST5834381,LOC0004,2025-01-11 13:15:08,Dine-in,Completed,,3730.00,0.00,559.50,4289.50,Cash,orphan_foreign_key
ORD00005418,CUST0034248,LOC0015,2025-01-11 13:15:44,Takeaway,Completed,,3600.00,0.00,576.00,4176.00,Card,orphan_foreign_key
ORD00005819,CUST0052901,LOC0023,2025-01-11 21:18:27,ThirdPartyDelivery,Completed,,5130.00,0.00,769.50,5899.50,Cash,orphan_foreign_key
ORD00005835,CUST0054115,LOC0002,2025-01-11 21:32:20,ThirdPartyDelivery,Completed,PROMO002,4260.00,96.00,624.60,4788.60,Online,orphan_foreign_key
ORD00006021,,LOC0025,2025-01-12 12:41:10,Dine-in,Completed,,4250.00,0.00,637.50,4887.50,Cash,missing_value
