rating_id,customer_id,item_id,location_id,order_id,rating_value,rating_date,review_text,quarantine_reason
RAT0000010,CUST0050300,,LOC0020,ORD00000366,5,2025-01-01,Highly recommended.,orphan_foreign_key
RAT0000016,CUST0042500,ITEM0073,LOC0004,ORD00000301,2,2025-01-01,,orphan_foreign_key
RAT0000018,CUST0032977,ITEM0138,LOC0018,ORD00000111,7,2025-01-01,,invalid_rating
RAT0000025,CUST0042500,ITEM0147,LOC0004,ORD00000301,3,2025-01-01,,orphan_foreign_key
RAT0000035,CUST0001598,ITEM0081,LOC0017,ORD00000106,,2025-01-01,"Good food, will order again.",missing_value
RAT0000067,CUST0042500,,LOC0004,ORD00000301,5,2025-01-01,Highly recommended.,orphan_foreign_key
RAT0000068,CUST3772266,ITEM0005,LOC0005,ORD00000228,4,2025-01-01,Tasty and fresh.,orphan_foreign_key
RAT0000070,CUST0044691,ITEM0055,LOC0020,ORD00000326,3,2025-01-01,,orphan_foreign_key
RAT0000110,CUST0003368,ITEM0098,LOC0003,ORD00000312,3,2025-01-01,,orphan_foreign_key
RAT0000118,CUST0024897,ITEM0061,LOC0020,ORD00000501,2,2025-01-02,,orphan_foreign_key
RAT0000130,CUST0010203,,LOC0011,ORD00000073,,2025-01-02,Decent but overpriced.,missing_value
RAT0000141,CUST0032963,ITEM0024,LOC0004,ORD00000627,3,2025-01-02,,orphan_foreign_key
RAT0000152,CUST0028400,ITEM0056,LOC0017,ORD00000258,3,2025-01-02,,orphan_foreign_key
RAT0000156,CUST0013314,ITEM0081,LOC0006,ORD00000610,3,2025-01-02,It was okay.,orphan_foreign_key
RAT0000173,CUST0007132,ITEM0129,LOC0023,ORD00000491,4,2025-01-02,,orphan_foreign_key
RAT0000177,CUST0042424,ITEM0148,LOC0017,ORD00000505,3,2025-01-02,,orphan_foreign_key
RAT0000181,CUST0022667,ITEM0134,LOC0013,ORD00000789,6,2025-01-02,,invalid_rating
RAT0000194,CUST0021831,ITEM0064,LOC0007,ORD00000580,4,2025-01-02,Tasty and fresh.,orphan_foreign_key
RAT0000212,CUST0001903,ITEM0148,LOC0013,ORD00000552,,2025-01-02,,missing_value
RAT0000216,CUST0011452,ITEM0054,LOC0013,ORD00000064,,2025-01-02,Highly recommended.,missing_value
RAT0000233,CUST0052741,ITEM0040,LOC0014,ORD00000423,3,2025-01-02,It was okay.,orphan_foreign_key
RAT0000235,CUST0010092,ITEM0042,LOC0012,ORD00000622,4,2025-01-02,"Good food, will order again.",orphan_foreign_key
RAT0000242,CUST0012654,ITEM0069,LOC0003,ORD00000289,0,2025-01-02,,invalid_rating
RAT0000252,CUST0021831,ITEM0133,LOC0007,ORD00000580,5,2025-01-02,,orphan_foreign_key
RAT0000269,CUST0052183,ITEM0026,LOC0017,ORD00000350,,2025-01-02,It was okay.,missing_value
RAT0000288,CUST0007132,ITEM0015,LOC0023,ORD00000491,4,2025-01-02,,orphan_foreign_key
RAT0000307,CUST0048280,ITEM0035,LOC0014,ORD00000793,3,2025-01-03,It was okay.,orphan_foreign_key
RAT0000309,CUST0019057,ITEM0148,LOC0008,ORD00000946,,2025-01-03,Nice ambience and good service.,missing_value
RAT0000312,CUST0006965,ITEM0134,LOC0019,ORD00001209,3,,,invalid_date
RAT0000316,CUST0041360,ITEM0023,LOC6289,ORD00001127,4,2025-01-03,,invalid_restaurant_id
RAT0000335,CUST0009406,,LOC0019,ORD00000931,4,,,invalid_date
RAT0000337,CUST0010092,ITEM0148,LOC0012,ORD00000622,4,2025-01-03,Good value for money.,orphan_foreign_key
RAT0000345,CUST0052273,ITEM0154,LOC6768,ORD00001172,4,2025-01-03,,invalid_restaurant_id
RAT0000352,CUST0025889,,LOC0014,ORD00000618,4,2025-01-03,,orphan_foreign_key
RAT0000398,CUST0000609,,LOC0016,ORD00000332,5,2025-01-03,Highly recommended.,orphan_foreign_key
RAT0000403,CUST0042424,ITEM0151,LOC0017,ORD00000505,3,2025-01-03,,orphan_foreign_key
RAT0000411,CUST0002123,ITEM0044,LOC0020,ORD00001157,0,2025-01-03,,invalid_rating
RAT0000425,CUST0018409,ITEM0081,LOC0014,ORD00000084,3,2025-01-03,,orphan_foreign_key
