wastage_id,item_id,location_id,date,quantity_wasted,unit,cost_of_waste,reason,quarantine_reason
WST0038494,,LOC0001,2025-08-22,1.000,pcs,46.24,Overproduction,missing_value
WST0039248,,LOC0001,2025-08-26,0.130,kg,232.24,Overproduction,missing_value
WST0057061,,LOC0001,2025-12-13,1.000,pcs,1492.61,Overproduction,missing_value
WST0009176,,LOC0002,2025-02-27,0.470,kg,538.54,PrepError,missing_value
WST0009819,,LOC0002,2025-03-03,1.000,pcs,200.14,Expired,missing_value
WST0019191,,LOC0002,2025-04-29,0.050,liters,30.00,PrepError,missing_value
WST0019389,,LOC0002,2025-04-30,1.000,pcs,151.76,Overproduction,missing_value
WST0021657,,LOC0002,2025-05-14,0.310,kg,675.02,Overproduction,missing_value
WST0032741,,LOC0002,2025-07-21,1.000,pcs,391.06,CustomerReturn,missing_value
WST0042559,,LOC0002,2025-09-15,0.790,kg,940.94,CustomerReturn,missing_value
WST0005555,,LOC0003,2025-02-04,1.030,kg,1180.19,Spoilage,missing_value
WST0006651,,LOC0003,2025-02-11,1.000,pcs,214.30,Overproduction,missing_value
WST0014027,,LOC0003,2025-03-28,1.560,kg,3396.90,CustomerReturn,missing_value
WST0022107,,LOC0003,2025-05-17,0.850,kg,849.49,Overproduction,missing_value
WST0024920,,LOC0003,2025-06-03,1.070,kg,1226.03,Overproduction,missing_value
WST0000533,,LOC0004,2025-01-04,0.630,kg,684.33,Spoilage,missing_value
WST0001399,,LOC0004,2025-01-09,0.420,kg,861.40,Expired,missing_value
WST0011507,,LOC0004,2025-03-13,0.180,liters,34.42,Expired,missing_value
WST0028098,,LOC0004,2025-06-22,0.870,kg,1036.22,PrepError,missing_value
WST0033599,,LOC0004,2025-07-26,0.920,kg,1054.15,Overproduction,missing_value
WST0042737,,LOC0004,2025-09-16,2.000,pcs,400.28,Spoilage,missing_value
WST0000223,,LOC0005,2025-01-02,1.000,pcs,186.99,Overproduction,missing_value
WST0003977,,LOC0005,2025-01-25,1.000,pcs,103.59,PrepError,missing_value
WST0006485,,LOC0005,2025-02-10,0.470,kg,538.54,Overproduction,missing_value
WST0016441,,LOC0005,2025-04-12,0.240,kg,522.60,Spoilage,missing_value
WST0025487,,LOC0005,2025-06-06,0.060,liters,19.29,Overproduction,missing_value
WST0045560,,LOC0005,2025-10-03,1.000,pcs,711.90,Overproduction,missing_value
WST0003170,,LOC0006,2025-01-20,1.000,pcs,45.55,Overproduction,missing_value
WST0003482,,LOC0006,2025-01-22,1.000,pcs,591.21,Overproduction,missing_value
WST0013523,,LOC0006,2025-03-25,1.000,pcs,200.14,Overproduction,missing_value
WST0015488,,LOC0006,2025-04-06,1.000,pcs,536.56,Spoilage,missing_value
WST0035886,,LOC0006,2025-08-08,2.000,pcs,278.70,Overproduction,missing_value
WST0035894,,LOC0006,2025-08-08,0.050,liters,13.84,Spoilage,missing_value
WST0050857,,LOC0006,2025-11-05,1.000,pcs,627.42,Overproduction,missing_value
WST0006346,,LOC0007,2025-02-09,0.080,kg,46.10,Overproduction,missing_value
WST0007183,,LOC0007,2025-02-14,1.000,pcs,403.02,Overproduction,missing_value
WST0026959,,LOC0007,2025-06-15,0.160,kg,159.90,Spoilage,missing_value
WST0007188,,LOC0008,2025-02-14,1.000,pcs,627.42,Spoilage,missing_value
WST0030990,,LOC0008,2025-07-10,0.960,kg,1143.42,Overproduction,missing_value
WST0043901,,LOC0008,2025-09-23,0.020,kg,29.34,Overproduction,missing_value
WST0038740,,LOC0009,2025-08-23,0.160,kg,285.84,Overproduction,missing_value
WST0015189,,LOC0010,2025-04-04,1.000,pcs,200.14,Expired,missing_value
WST0023476,,LOC0010,2025-05-25,0.260,kg,259.84,Expired,missing_value
WST0024787,,LOC0010,2025-06-02,0.800,kg,916.66,Spoilage,missing_value
WST0027794,,LOC0010,2025-06-20,0.070,liters,36.81,PrepError,missing_value
WST0039126,,LOC0010,2025-08-25,1.000,pcs,259.12,Overproduction,missing_value
WST0046739,,LOC0010,2025-10-10,1.000,pcs,110.76,Overproduction,missing_value
WST0055131,,LOC0010,2025-12-01,0.020,kg,34.18,Overproduction,missing_value
WST0029062,,LOC0011,2025-06-28,0.040,kg,87.10,Overproduction,missing_value
WST0021042,,LOC0012,2025-05-10,0.060,kg,59.96,Expired,missing_value
WST0023333,,LOC0013,2025-05-24,2.000,pcs,92.54,Spoilage,missing_value
WST0028626,,LOC0013,2025-06-25,0.040,liters,43.18,Spoilage,missing_value
WST0029570,,LOC0013,2025-07-01,0.400,kg,871.00,Overproduction,missing_value
WST0018474,,LOC0014,2025-04-24,1.000,pcs,151.76,CustomerReturn,missing_value
WST0026369,,LOC0014,2025-06-11,0.030,liters,19.14,Overproduction,missing_value
WST0034339,,LOC0014,2025-07-30,0.210,kg,112.00,Overproduction,missing_value
WST0014744,,LOC0015,2025-04-01,0.230,liters,109.20,Overproduction,missing_value
WST0041409,,LOC0015,2025-09-07,1.000,pcs,425.59,Spoilage,missing_value
WST0053512,,LOC0015,2025-11-21,1.000,pcs,1492.61,PrepError,missing_value
WST0058763,,LOC0015,2025-12-23,1.120,kg,1333.99,Expired,missing_value
WST0001644,,LOC0016,2025-01-10,0.010,kg,12.49,Spoilage,missing_value
WST0010605,,LOC0016,2025-03-07,1.000,pcs,200.14,Overproduction,missing_value
WST0020742,,LOC0016,2025-05-08,0.090,kg,89.95,Overproduction,missing_value
WST0028934,,LOC0016,2025-06-27,0.480,kg,479.71,Expired,missing_value
WST0023348,,LOC0017,2025-05-24,1.000,pcs,200.14,Overproduction,missing_value
WST0046279,,LOC0017,2025-10-07,0.210,kg,214.21,Overproduction,missing_value
WST0041584,,LOC0018,2025-09-08,0.150,liters,71.22,Overproduction,missing_value
WST0042203,,LOC0018,2025-09-12,1.000,pcs,711.90,Spoilage,missing_value
WST0006256,,LOC0019,2025-02-08,1.000,pcs,682.35,CustomerReturn,missing_value
WST0010288,,LOC0019,2025-03-05,1.000,pcs,986.58,Overproduction,missing_value
WST0021765,,LOC0019,2025-05-14,0.680,kg,779.16,Overproduction,missing_value
WST0043454,,LOC0019,2025-09-20,0.570,kg,678.90,Overproduction,missing_value
WST0015892,,LOC0020,2025-04-08,0.020,liters,3.76,Expired,missing_value
WST0016386,,LOC0020,2025-04-11,1.000,pcs,333.71,Overproduction,missing_value
WST0043800,,LOC0020,2025-09-22,0.030,liters,17.77,Expired,missing_value
WST0050628,,LOC0020,2025-11-03,0.430,kg,512.16,Overproduction,missing_value
WST0027219,,LOC0021,2025-06-16,0.020,kg,29.71,CustomerReturn,missing_value
WST0047261,,LOC0023,2025-10-13,1.000,pcs,331.31,Expired,missing_value
WST0056040,,LOC0023,2025-12-06,0.110,kg,165.13,Overproduction,missing_value
WST0058640,,LOC0023,2025-12-22,1.300,kg,1553.86,Spoilage,missing_value
WST0020637,,LOC0024,2025-05-07,1.000,pcs,470.19,Spoilage,missing_value
WST0025087,,LOC0024,2025-06-03,0.080,liters,28.29,PrepError,missing_value
WST0036209,,LOC0024,2025-08-09,0.210,kg,198.75,Spoilage,missing_value
WST0041618,,LOC0024,2025-09-08,1.000,pcs,267.43,Spoilage,missing_value
WST0005537,,LOC0025,2025-02-03,1.000,pcs,627.42,Overproduction,missing_value
WST0036036,,LOC0025,2025-08-08,0.050,kg,13.52,Overproduction,missing_value
WST0055281,ITEM0003,LOC2955,2025-12-02,2.000,pcs,284.34,Overproduction,invalid_restaurant_id
WST0012041,ITEM0003,LOC8467,2025-03-16,1.000,pcs,139.35,Overproduction,invalid_restaurant_id
WST0005500,ITEM0004,LOC0021,2027-11-05,1.000,pcs,214.30,Spoilage,invalid_date
WST0044366,ITEM0005,LOC0001,2025-09-26,8.000,pcs,149.00,Expired,wastage_exceeds_prepared
WST0007615,ITEM0005,LOC7216,2025-02-17,1.000,pcs,149.00,Expired,invalid_restaurant_id
WST0011054,ITEM0006,LOC0012,,1.000,pcs,296.28,Overproduction,invalid_date
WST0019473,ITEM0006,LOC0016,2025-04-30,5.000,pcs,296.28,Overproduction,wastage_exceeds_prepared
WST0038504,ITEM0007,LOC0003,2025-08-22,4.000,pcs,711.90,Overproduction,wastage_exceeds_prepared
WST0032538,ITEM0007,LOC0022,2025-07-19,4.000,pcs,711.90,Expired,wastage_exceeds_prepared
WST0020279,ITEM0007,LOC0023,2025-05-05,4.000,pcs,711.90,PrepError,wastage_exceeds_prepared
WST0039331,ITEM0007,LOC0622,2025-08-26,1.000,pcs,711.90,Overproduction,invalid_restaurant_id
WST0028893,ITEM0007,LOC8176,2025-06-27,1.000,pcs,711.90,CustomerReturn,invalid_restaurant_id
WST0005151,ITEM0007,LOC9066,2025-02-01,1.000,pcs,711.90,Spoilage,invalid_restaurant_id
WST0052340,ITEM0008,LOC0010,2025-11-14,3.000,pcs,165.58,Overproduction,wastage_exceeds_prepared
WST0021918,ITEM0008,LOC1429,2025-05-15,1.000,pcs,157.77,Overproduction,invalid_restaurant_id
WST0033374,ITEM0010,LOC0142,2025-07-24,1.000,pcs,552.35,Overproduction,invalid_restaurant_id
WST0040326,ITEM0010,LOC2862,2025-09-01,1.000,pcs,568.66,Overproduction,invalid_restaurant_id
WST0020260,ITEM0011,LOC0020,2025-05-05,5.000,pcs,332.30,Overproduction,wastage_exceeds_prepared
WST0004494,ITEM0012,LOC0012,2025-01-28,4.000,pcs,376.85,Overproduction,wastage_exceeds_prepared
WST0028833,ITEM0012,LOC0022,2027-11-05,1.000,pcs,402.60,Overproduction,invalid_date
WST0042281,ITEM0013,LOC0006,2025-09-13,8.000,pcs,179.48,Expired,wastage_exceeds_prepared
