customer_id,signup_date,age_group,gender,home_location_id,preferred_channel,loyalty_member
CUST0000001,2023-10-31,35-44,Male,LOC0021,App,False
CUST0000002,2022-01-20,45-54,Male,LOC0011,Website,False
CUST0000003,2024-06-20,55+,Male,LOC0015,Dine-in,True
CUST0000004,2025-06-28,55+,Female,LOC0023,App,False
CUST0000005,2024-05-14,55+,Male,LOC0007,ThirdPartyDelivery,False
CUST0000006,2025-05-03,18-24,Female,LOC0006,App,False
CUST0000007,2022-10-18,35-44,Female,LOC0024,Takeaway,False
CUST0000008,2022-04-12,35-44,Female,,Dine-in,False
CUST0000009,2024-08-23,45-54,Female,LOC0022,App,False
CUST0000010,2022-08-30,35-44,Male,LOC0011,Takeaway,True
CUST0000011,2023-08-07,18-24,Male,,Dine-in,True
CUST0000012,2025-10-16,25-34,Male,LOC0007,Dine-in,True
CUST0000013,2025-11-08,35-44,Male,LOC0025,Takeaway,False
CUST0000014,2025-06-06,35-44,Female,LOC0006,Takeaway,False
CUST0000015,2023-06-23,18-24,Male,LOC0014,ThirdPartyDelivery,False
CUST0000016,2023-06-22,25-34,Female,LOC0018,App,False
CUST0000017,2025-11-22,25-34,Male,LOC0020,ThirdPartyDelivery,False
CUST0000018,2023-03-10,25-34,Undisclosed,,ThirdPartyDelivery,True
CUST0000019,2022-02-27,45-54,Male,LOC0008,App,False
CUST0000020,2023-01-12,25-34,Undisclosed,LOC0004,Dine-in,True
CUST0000021,2023-02-05,55+,Female,LOC0002,Takeaway,False
CUST0000022,2022-10-04,18-24,Male,LOC0012,ThirdPartyDelivery,False
CUST0000023,2022-04-30,18-24,Male,LOC0022,Dine-in,True
CUST0000024,2023-03-23,35-44,Male,LOC0016,Website,False
CUST0000025,2024-10-08,25-34,Undisclosed,LOC0009,Website,False
CUST0000026,2022-07-20,55+,Male,LOC0013,Dine-in,False
CUST0000027,2024-02-01,35-44,Male,LOC0004,Takeaway,False
CUST0000028,2023-08-12,25-34,Female,LOC0018,App,True
CUST0000029,2024-11-20,25-34,Male,LOC0012,Dine-in,True
CUST0000030,2022-12-13,25-34,Male,LOC0011,Takeaway,False
CUST0000031,2025-06-18,45-54,Female,LOC0022,App,False
CUST0000032,2024-03-09,25-34,Female,LOC0002,Takeaway,True
