item_id,item_name,category_id,base_price,base_cost,description,is_active,launch_date,is_seasonal,season
ITEM0001,Chicken Samosa,CAT01,270.0,95.57,Chicken Samosa from our appetizers menu,True,2020-02-13,False,AllYear
ITEM0002,Vegetable Samosa,CAT01,215.0,75.87,Vegetable Samosa from our appetizers menu,True,2019-02-16,False,AllYear
ITEM0003,Aloo Pakora,CAT01,380.0,142.17,Aloo Pakora from our appetizers menu,True,2021-01-16,True,Monsoon
ITEM0004,Chicken Pakora,CAT01,590.0,220.14,Chicken Pakora from our appetizers menu,True,2021-04-04,True,Monsoon
ITEM0005,Dahi Bhallay,CAT01,420.0,149.0,Dahi Bhallay from our appetizers menu,True,2022-04-05,False,AllYear
ITEM0006,Chicken Wings (6 pcs),CAT01,770.0,296.28,Chicken Wings (6 pcs) from our appetizers menu,True,2020-11-16,False,AllYear
ITEM0007,Chicken Wings Bucket,CAT01,-1570.0,711.9,Chicken Wings Bucket from our appetizers menu,True,2021-10-11,False,AllYear
ITEM0008,Loaded Nachos,CAT01,1030.0,165.58,Loaded Nachos from our appetizers menu,True,2021-03-27,False,AllYear
ITEM0009,Veg Spring Rolls,CAT01,490.0,185.03,Veg Spring Rolls from our appetizers menu,True,2021-10-25,False,AllYear
ITEM0010,Dynamite Prawns,CAT01,1390.0,568.66,Dynamite Prawns from our appetizers menu,True,2025-06-12,False,AllYear
ITEM0011,Chicken Tempura,CAT01,940.0,340.59,Chicken Tempura from our appetizers menu,True,2018-10-26,False,AllYear
ITEM0012,Crispy Fish Bites,CAT01,900.0,402.6,Crispy Fish Bites from our appetizers menu,True,2018-03-13,False,AllYear
ITEM0013,Papri Chaat,CAT01,400.0,179.48,Papri Chaat from our appetizers menu,True,2023-01-08,True,Monsoon
ITEM0014,Chicken Corn Soup,CAT02,490.0,180.01,Chicken Corn Soup from our soups menu,True,2019-01-21,True,Winter
ITEM0015,Hot & Sour Soup,CAT02,520.0,184.59,Hot & Sour Soup from our soups menu,True,2020-11-23,True,Winter
ITEM0016,Cream of Mushroom Soup,CAT02,560.0,210.83,Cream of Mushroom Soup from our soups menu,True,2017-10-03,True,Winter
ITEM0017,Thai Tom Yum Soup,CAT02,680.0,292.31,Thai Tom Yum Soup from our soups menu,True,2019-11-06,False,AllYear
ITEM0018,Mutton Yakhni,CAT02,620.0,236.34,Mutton Yakhni from our soups menu,True,2020-09-21,True,Winter
ITEM0019,Lentil Soup,CAT02,360.0,154.84,Lentil Soup from our soups menu,True,2021-07-31,False,AllYear
ITEM0020,Seafood Soup,CAT02,810.0,323.82,Seafood Soup from our soups menu,True,2020-09-10,False,AllYear
ITEM0021,Tomato Basil Soup,CAT02,450.0,184.7,Tomato Basil Soup from our soups menu,True,2019-03-20,False,AllYear
ITEM0022,Chicken Noodle Soup,CAT02,490.0,174.65,Chicken Noodle Soup from our soups menu,False,2024-07-29,True,Winter
ITEM0023,Fresh Garden Salad,CAT03,470.0,200.14,Fresh Garden Salad from our salads menu,True,2020-07-27,False,AllYear
ITEM0024,Caesar Salad,CAT03,820.0,285.28,Caesar Salad from our salads menu,True,2023-03-17,False,AllYear
ITEM0025,Greek Salad,CAT03,820.0,334.06,Greek Salad from our salads menu,True,2022-07-27,False,AllYear
ITEM0026,Russian Salad,CAT03,570.0,245.78,Russian Salad from our salads menu,True,2020-12-23,False,AllYear
ITEM0027,Fruit Chaat,CAT03,420.0,144.9,Fruit Chaat from our salads menu,True,2023-11-27,True,Summer
ITEM0028,Chickpea Chaat,CAT03,390.0,160.88,Chickpea Chaat from our salads menu,True,2017-02-21,True,Monsoon
ITEM0029,Grilled Chicken Salad,CAT03,950.0,312.12,Grilled Chicken Salad from our salads menu,True,2024-03-18,False,AllYear
ITEM0030,Kachumber Salad,CAT03,265.0,110.76,Kachumber Salad from our salads menu,True,2023-08-01,False,AllYear
ITEM0031,Quinoa Power Bowl,CAT03,1100.0,364.08,Quinoa Power Bowl from our salads menu,True,2025-03-10,False,AllYear
ITEM0032,Chicken Tikka,CAT04,780.0,356.48,Chicken Tikka from our bbq & grills menu,True,2022-07-16,False,AllYear
ITEM0033,Seekh Kabab,CAT04,940.0,306.02,Seekh Kabab from our bbq & grills menu,True,2020-08-21,False,AllYear
ITEM0034,Malai Boti,CAT04,1220.0,445.69,Malai Boti from our bbq & grills menu,True,2018-05-25,False,AllYear
ITEM0035,Reshmi Kabab,CAT04,1000.0,418.08,Reshmi Kabab from our bbq & grills menu,True,2023-02-18,False,AllYear
ITEM0036,Chicken Boti,CAT04,840.0,338.1,Chicken Boti from our bbq & grills menu,True,2018-03-11,False,AllYear
ITEM0037,Mutton Chops,CAT04,2380.0,995.51,Mutton Chops from our bbq & grills menu,True,2018-10-21,False,AllYear
ITEM0038,Beef Bihari Boti,CAT04,1200.0,510.66,Beef Bihari Boti from our bbq & grills menu,True,2020-08-18,False,AllYear
ITEM0039,Gola Kabab,CAT04,980.0,450.35,Gola Kabab from our bbq & grills menu,True,2023-06-20,False,AllYear
ITEM0040,Chapli Kabab,CAT04,750.0,267.75,Chapli Kabab from our bbq & grills menu,True,2019-06-04,False,AllYear
ITEM0041,Tandoori Chicken (Half),CAT04,1310.0,515.58,Tandoori Chicken (Half) from our bbq & grills menu,True,2020-05-28,False,AllYear
ITEM0042,BBQ Platter for 4,CAT04,5470.0,2596.95,BBQ Platter for 4 from our bbq & grills menu,True,2016-05-15,False,AllYear
ITEM0043,Mutton Raan,CAT04,5110.0,2066.57,Mutton Raan from our bbq & grills menu,True,2017-01-12,False,AllYear
ITEM0044,Grilled Fish Tikka,CAT04,1480.0,512.67,Grilled Fish Tikka from our bbq & grills menu,True,2016-07-01,False,AllYear
ITEM0045,Chicken Karahi (Half),CAT05,-1530.0,595.53,Chicken Karahi (Half) from our karahi & handi menu,True,2016-08-22,False,AllYear
ITEM0046,Mutton Karahi (Half),CAT05,2820.0,1115.76,Mutton Karahi (Half) from our karahi & handi menu,True,2023-09-29,False,AllYear
ITEM0047,Chicken White Karahi,CAT05,1650.0,627.28,Chicken White Karahi from our karahi & handi menu,True,2023-07-05,False,AllYear
ITEM0048,Chicken Handi,CAT05,1520.0,597.64,Chicken Handi from our karahi & handi menu,True,2023-04-30,False,AllYear
ITEM0049,Mutton Handi,CAT05,2660.0,1132.57,Mutton Handi from our karahi & handi menu,True,2016-06-29,False,AllYear
ITEM0050,Peshawari Karahi,CAT05,1770.0,776.26,Peshawari Karahi from our karahi & handi menu,True,2016-09-09,False,AllYear
ITEM0051,Daal Makhni,CAT05,680.0,266.66,Daal Makhni from our karahi & handi menu,True,2018-07-02,False,AllYear
ITEM0052,Palak Paneer,CAT05,800.0,314.45,Palak Paneer from our karahi & handi menu,True,2021-01-15,False,AllYear
ITEM0053,Chicken Jalfrezi,CAT05,1360.0,605.77,Chicken Jalfrezi from our karahi & handi menu,True,2018-12-24,False,AllYear
ITEM0054,Nihari,CAT05,1330.0,424.1,Nihari from our karahi & handi menu,True,2020-05-06,True,Winter
ITEM0055,Haleem,CAT05,750.0,235.61,Haleem from our karahi & handi menu,True,2017-07-17,True,Winter
ITEM0056,Butter Chicken,CAT05,1440.0,468.22,Butter Chicken from our karahi & handi menu,True,2022-07-08,False,AllYear
ITEM0057,Chicken Biryani,CAT06,690.0,468.22,Chicken Biryani from our rice & biryani menu,True,2018-10-19,False,AllYear
ITEM0058,Mutton Biryani,CAT06,1250.0,392.19,Mutton Biryani from our rice & biryani menu,True,2016-08-04,False,AllYear
ITEM0059,Sindhi Biryani,CAT06,730.0,317.89,Sindhi Biryani from our rice & biryani menu,True,2022-08-15,False,AllYear
ITEM0060,Beef Pulao,CAT06,830.0,333.17,Beef Pulao from our rice & biryani menu,True,2024-01-19,False,AllYear
ITEM0061,Mutton Pulao,CAT06,980.0,363.74,Mutton Pulao from our rice & biryani menu,True,2016-02-17,False,AllYear
ITEM0062,Chicken Fried Rice,CAT06,670.0,350.53,Chicken Fried Rice from our rice & biryani menu,True,2019-11-23,False,AllYear
ITEM0063,Egg Fried Rice,CAT06,570.0,248.26,Egg Fried Rice from our rice & biryani menu,False,2023-05-18,False,AllYear
ITEM0064,Vegetable Biryani,CAT06,550.0,191.14,Vegetable Biryani from our rice & biryani menu,True,2022-04-18,False,AllYear
ITEM0065,Prawn Biryani,CAT06,1360.0,503.63,Prawn Biryani from our rice & biryani menu,True,2023-08-21,False,AllYear
ITEM0066,Kabuli Pulao,CAT06,950.0,343.77,Kabuli Pulao from our rice & biryani menu,True,2019-09-14,False,AllYear
ITEM0067,Steamed Rice,CAT06,320.0,108.16,Steamed Rice from our rice & biryani menu,True,2019-04-27,False,AllYear
ITEM0068,Zinger Burger,CAT07,680.0,470.19,Zinger Burger from our burgers & wraps menu,True,2022-04-28,False,AllYear
ITEM0069,Classic Beef Burger,CAT07,1180.0,407.68,Classic Beef Burger from our burgers & wraps menu,True,2017-05-15,False,AllYear
ITEM0070,Double Patty Burger,CAT07,1330.0,627.42,Double Patty Burger from our burgers & wraps menu,True,2018-02-18,False,AllYear
ITEM0071,Chicken Tikka Wrap,CAT07,710.0,267.43,Chicken Tikka Wrap from our burgers & wraps menu,True,2021-05-10,False,AllYear
ITEM0072,Grilled Chicken Burger,CAT07,790.0,332.55,Grilled Chicken Burger from our burgers & wraps menu,True,2021-12-17,False,AllYear
ITEM0073,Fish Burger,CAT07,850.0,331.31,Fish Burger from our burgers & wraps menu,True,2017-01-24,False,AllYear
ITEM0074,Mushroom Swiss Burger,CAT07,1230.0,548.77,Mushroom Swiss Burger from our burgers & wraps menu,True,2020-07-13,False,AllYear
ITEM0075,Crispy Chicken Wrap,CAT07,630.0,269.61,Crispy Chicken Wrap from our burgers & wraps menu,True,2019-04-03,False,AllYear
ITEM0076,Chapli Kabab Burger,CAT07,750.0,294.74,Chapli Kabab Burger from our burgers & wraps menu,True,2020-06-22,False,AllYear
ITEM0077,Club Sandwich,CAT07,680.0,302.29,Club Sandwich from our burgers & wraps menu,True,2024-07-18,False,AllYear
ITEM0078,Smash Burger,CAT07,1250.0,560.33,Smash Burger from our burgers & wraps menu,True,2025-10-06,False,AllYear
ITEM0079,Korean Fried Chicken Burger,CAT07,1100.0,454.64,Korean Fried Chicken Burger from our burgers & wraps menu,True,2025-11-03,False,AllYear
ITEM0080,Nashville Hot Wrap,CAT07,950.0,421.47,Nashville Hot Wrap from our burgers & wraps menu,True,2025-11-24,False,AllYear
ITEM0081,Chicken Tikka Pizza (Medium),CAT08,1510.0,1047.44,Chicken Tikka Pizza (Medium) from our pizza menu,True,2022-11-19,False,AllYear
ITEM0082,Fajita Pizza (Medium),CAT08,2000.0,707.81,Fajita Pizza (Medium) from our pizza menu,True,2019-10-14,False,AllYear
ITEM0083,Pepperoni Pizza (Medium),CAT08,1760.0,701.86,Pepperoni Pizza (Medium) from our pizza menu,True,2018-10-09,False,AllYear
ITEM0084,Margherita Pizza (Medium),CAT08,1240.0,425.59,Margherita Pizza (Medium) from our pizza menu,True,2022-11-14,False,AllYear
ITEM0085,BBQ Chicken Pizza (Medium),CAT08,1630.0,650.03,BBQ Chicken Pizza (Medium) from our pizza menu,True,2022-02-17,False,AllYear
ITEM0086,Vegetable Supreme Pizza (Medium),CAT08,1380.0,560.08,Vegetable Supreme Pizza (Medium) from our pizza menu,True,2017-04-14,False,AllYear
ITEM0087,Jumbo Family Pizza,CAT08,3170.0,1492.61,Jumbo Family Pizza from our pizza menu,True,2022-04-16,False,AllYear
ITEM0088,Malai Boti Pizza (Medium),CAT08,1710.0,651.22,Malai Boti Pizza (Medium) from our pizza menu,True,2022-09-18,False,AllYear
ITEM0089,Seafood Pizza (Medium),CAT08,2070.0,892.05,Seafood Pizza (Medium) from our pizza menu,True,2019-06-17,False,AllYear
ITEM0090,Four Cheese Pizza (Medium),CAT08,1910.0,682.77,Four Cheese Pizza (Medium) from our pizza menu,True,2024-04-02,False,AllYear
ITEM0091,Kebab Crust Pizza (Medium),CAT08,1920.0,724.96,Kebab Crust Pizza (Medium) from our pizza menu,True,2025-05-20,False,AllYear
ITEM0092,Alfredo Pasta,CAT09,1410.0,465.66,Alfredo Pasta from our pasta menu,True,2018-12-22,False,AllYear
ITEM0093,Arrabbiata Pasta,CAT09,1140.0,410.14,Arrabbiata Pasta from our pasta menu,True,2016-02-04,False,AllYear
ITEM0094,Beef Lasagna,CAT09,1550.0,716.43,Beef Lasagna from our pasta menu,True,2022-01-07,False,AllYear
ITEM0095,Chicken Mac and Cheese,CAT09,1190.0,508.41,Chicken Mac and Cheese from our pasta menu,True,2017-11-11,False,AllYear
ITEM0096,Truffle Mushroom Pasta,CAT09,1840.0,298.74,Truffle Mushroom Pasta from our pasta menu,True,2022-09-30,False,AllYear
ITEM0097,Pink Sauce Pasta,CAT09,1200.0,539.54,Pink Sauce Pasta from our pasta menu,True,2025-10-20,False,AllYear
ITEM0098,Spaghetti Bolognese,CAT09,1220.0,521.65,Spaghetti Bolognese from our pasta menu,True,2020-02-29,False,AllYear
ITEM0099,Pesto Pasta,CAT09,1300.0,471.54,Pesto Pasta from our pasta menu,True,2017-06-17,False,AllYear
ITEM0100,Crunchy Chicken Pasta,CAT09,1260.0,549.26,Crunchy Chicken Pasta from our pasta menu,True,2022-05-06,False,AllYear
ITEM0101,Baked Chicken Penne,CAT09,1230.0,414.61,Baked Chicken Penne from our pasta menu,True,2017-06-24,False,AllYear
ITEM0102,Fried Fish Lahori,CAT10,1410.0,625.27,Fried Fish Lahori from our seafood menu,True,2019-09-22,True,Winter
ITEM0103,Grilled Prawns Platter,CAT10,3090.0,1298.0,Grilled Prawns Platter from our seafood menu,True,2023-06-16,False,AllYear
ITEM0104,Finger Fish,CAT10,1420.0,476.78,Finger Fish from our seafood menu,True,2024-03-16,False,AllYear
ITEM0105,Prawn Karahi,CAT10,2660.0,878.39,Prawn Karahi from our seafood menu,True,2024-10-26,False,AllYear
ITEM0106,Grilled Salmon Steak,CAT10,4170.0,1825.61,Grilled Salmon Steak from our seafood menu,True,2024-07-17,False,AllYear
ITEM0107,Fish and Chips,CAT10,1430.0,473.19,Fish and Chips from our seafood menu,True,2020-12-15,False,AllYear
ITEM0108,Lemon Butter Fish,CAT10,1800.0,648.55,Lemon Butter Fish from our seafood menu,True,2017-10-14,False,AllYear
ITEM0109,Masala Fish,CAT10,1500.0,513.48,Masala Fish from our seafood menu,True,2023-06-25,False,AllYear
ITEM0110,Calamari Rings,CAT10,1330.0,558.62,Calamari Rings from our seafood menu,True,2023-02-23,False,AllYear
ITEM0111,Gulab Jamun,CAT11,260.0,91.26,Gulab Jamun from our desserts menu,True,2024-10-30,False,AllYear
ITEM0112,Kheer,CAT11,310.0,140.73,Kheer from our desserts menu,True,2021-10-21,False,AllYear
ITEM0113,Gajar Halwa,CAT11,510.0,198.15,Gajar Halwa from our desserts menu,True,2017-04-06,True,Winter
ITEM0114,Kulfi,CAT11,270.0,86.95,Kulfi from our desserts menu,True,2020-06-25,True,Summer
