order_id,customer_id,location_id,order_datetime,order_channel,order_status,promotion_id,subtotal,discount_amount,tax_amount,total_amount,payment_method
ORD00000001,CUST0054670,LOC0024,2025-01-01 00:02:28,Dine-in,Completed,PROMO001,12600.0,1890.0,1713.6,12423.6,Cash
ORD00000002,CUST0054397,LOC0004,2025-01-01 00:12:52,Takeaway,Completed,,4400.0,0.0,660.0,5060.0,Cash
ORD00000003,CUST0051168,LOC0022,2025-01-01 00:35:30,Dine-in,Completed,,10930.0,0.0,1639.5,12569.5,Card
ORD00000004,CUST0043219,LOC0012,2025-01-01 00:40:57,App,Completed,,1900.0,0.0,285.0,2185.0,Cash
ORD00000005,CUST0035980,LOC0005,2025-01-01 00:58:31,Dine-in,Completed,,13670.0,0.0,2050.5,15720.5,Cash
ORD00000006,CUST0053353,LOC0003,2025-01-01 01:00:31,Dine-in,Completed,,12160.0,0.0,1824.0,13984.0,Cash
ORD00000007,CUST0053546,LOC0015,2025-01-01 01:11:23,App,Completed,,5750.0,0.0,920.0,6670.0,Card
ORD00000008,CUST0039785,LOC0003,2025-01-01 01:25:38,Takeaway,Completed,PROMO001,3590.0,538.5,457.72,3509.22,Cash
ORD00000009,,LOC0007,2025-01-01 01:35:33,Takeaway,Completed,,6790.0,0.0,1086.4,7876.4,Cash
ORD00000010,CUST0011583,LOC0006,2025-01-01 01:36:29,Takeaway,Completed,,7620.0,0.0,1143.0,8763.0,Cash
ORD00000011,CUST0018689,LOC0004,2025-01-01 01:44:39,App,Completed,,4750.0,0.0,712.5,5462.5,Card
ORD00000012,CUST0014127,LOC0005,2025-01-01 01:59:07,Website,Completed,,1510.0,0.0,226.5,1736.5,Online
ORD00000013,CUST0035633,LOC0023,2025-01-01 10:16:39,Website,Completed,PROMO001,5160.0,774.0,657.9,5043.9,Online
ORD00000014,CUST0051452,LOC0014,2025-01-01 10:28:01,Dine-in,Completed,,5010.0,0.0,751.5,5761.5,Cash
ORD00000015,CUST0015359,LOC0013,2025-01-01 10:32:07,Dine-in,Completed,,7550.0,0.0,1132.5,8682.5,Wallet
ORD00000016,CUST0054321,LOC0002,2025-01-01 10:55:29,Dine-in,Completed,,6380.0,0.0,957.0,7337.0,Card
ORD00000017,CUST0025579,LOC0004,2025-01-01 11:00:06,App,Completed,,920.0,0.0,138.0,1058.0,Online
ORD00000018,CUST0048928,LOC0009,2025-01-01 11:11:13,Dine-in,Completed,,10460.0,0.0,1673.6,12133.6,Cash
ORD00000019,CUST0024634,LOC0011,2025-01-01 11:23:48,App,Cancelled,,7820.0,0.0,1251.2,9071.2,Wallet
ORD00000020,CUST0029254,LOC0023,2025-01-01 11:24:16,Takeaway,Completed,,5990.0,0.0,898.5,6888.5,Card
ORD00000021,CUST0011553,LOC0008,2025-01-01 11:31:00,Dine-in,Completed,,8170.0,0.0,1307.2,9477.2,Cash
ORD00000022,CUST0032049,LOC0008,2025-01-01 11:32:06,Dine-in,Completed,,3870.0,0.0,619.2,4489.2,Card
ORD00000023,CUST0046514,LOC0010,2025-01-01 11:33:08,Dine-in,Completed,,16780.0,0.0,2684.8,19464.8,Wallet
ORD00000024,CUST0006524,LOC0012,2025-01-01 11:38:18,Dine-in,Completed,,13880.0,0.0,2082.0,15962.0,Card
ORD00000025,CUST0011745,LOC0006,2025-01-01 11:39:23,Dine-in,Completed,PROMO001,3720.0,558.0,474.3,3636.3,Cash
ORD00000026,CUST0053439,LOC0016,2025-01-01 11:41:36,Dine-in,Completed,,1680.0,0.0,268.8,1948.8,Cash
ORD00000027,CUST0032000,LOC0003,2025-01-01 11:55:10,Dine-in,Completed,,11860.0,0.0,1779.0,13639.0,Card
ORD00000028,CUST0049662,LOC0019,2025-01-01 12:00:01,App,Completed,,1400.0,0.0,224.0,1624.0,Online
ORD00000029,CUST0051011,LOC0021,2025-01-01 12:00:01,ThirdPartyDelivery,Completed,,6650.0,0.0,997.5,7647.5,Online
ORD00000030,CUST0027218,LOC0001,2025-01-01 12:01:52,Dine-in,Completed,,7240.0,0.0,1086.0,8326.0,Cash
ORD00000031,CUST0031248,LOC0018,2025-01-01 12:02:05,Dine-in,Completed,,6250.0,0.0,1000.0,7250.0,Cash
ORD00000032,CUST0017241,LOC0022,2025-01-01 12:02:06,Dine-in,Completed,,5640.0,0.0,846.0,6486.0,Cash
ORD00000033,CUST0004057,LOC0023,2025-01-01 12:02:09,Takeaway,Completed,,5460.0,0.0,819.0,6279.0,Wallet
ORD00000034,CUST0035774,LOC0022,2025-01-01 12:05:08,Dine-in,Completed,,12460.0,0.0,1869.0,14329.0,Card
ORD00000035,CUST0035842,LOC0009,2025-01-01 12:05:21,Dine-in,Completed,,6895.0,0.0,1103.2,7998.2,Cash
ORD00000036,CUST0017253,LOC0008,2025-01-01 12:08:30,App,Completed,PROMO001,7530.0,1129.5,1024.08,7424.58,Online
ORD00000037,CUST0049972,LOC0016,2025-01-01 12:08:47,Takeaway,Completed,,12810.0,0.0,2049.6,14859.6,Card
ORD00000038,CUST0032219,LOC0015,2025-01-01 12:09:35,App,Completed,PROMO001,7810.0,1171.5,1062.16,7700.66,Cash
ORD00000039,CUST0032940,LOC0010,2025-01-01 12:11:07,ThirdPartyDelivery,Completed,,2050.0,0.0,328.0,2378.0,Cash
ORD00000040,CUST0023090,LOC0007,2025-01-01 12:11:20,Takeaway,Completed,,2160.0,0.0,345.6,2505.6,Card
