price_id,item_id,location_id,price,cost,effective_start_date,effective_end_date,change_reason
PRC00001,ITEM0001,,250.0,88.66,2024-07-01,2025-01-31,menu revision
PRC00002,ITEM0001,,260.0,93.07,2025-02-01,2025-08-31,inflation
PRC00003,ITEM0001,,270.0,95.57,2025-09-01,,inflation
PRC00004,ITEM0002,,200.0,67.63,2024-07-01,2025-01-31,menu revision
PRC00005,ITEM0002,,210.0,72.86,2025-02-01,2025-08-31,inflation
PRC00006,ITEM0002,,215.0,75.87,2025-09-01,,inflation
PRC00007,ITEM0003,,350.0,133.74,2024-07-01,2025-01-31,menu revision
PRC00008,ITEM0003,,360.0,139.35,2025-02-01,2025-06-30,inflation
PRC00009,ITEM0003,,380.0,139.35,2025-07-01,2025-08-31,seasonal
PRC00010,ITEM0003,,400.0,142.17,2025-09-01,2025-09-30,inflation
PRC00011,ITEM0003,,380.0,142.17,2025-10-01,,seasonal
PRC00012,ITEM0004,,550.0,205.81,2024-07-01,2025-01-31,menu revision
PRC00013,ITEM0004,,570.0,214.3,2025-02-01,2025-06-30,inflation
PRC00014,ITEM0004,,600.0,214.3,2025-07-01,2025-08-31,seasonal
PRC00015,ITEM0004,,620.0,220.14,2025-09-01,2025-09-30,inflation
PRC00016,ITEM0004,,590.0,220.14,2025-10-01,,seasonal
PRC00017,ITEM0005,,400.0,140.09,2024-07-01,2025-01-31,menu revision
PRC00018,ITEM0005,,420.0,149.0,2025-02-01,,inflation
PRC00019,ITEM0005,LOC0003,450.0,149.0,2025-03-01,,location premium
PRC00020,ITEM0005,LOC0006,450.0,149.0,2025-03-01,,location premium
PRC00021,ITEM0005,LOC0009,450.0,149.0,2025-03-01,,location premium
PRC00022,ITEM0005,LOC0014,450.0,149.0,2025-03-01,,location premium
PRC00023,ITEM0005,LOC0018,450.0,149.0,2025-03-01,,location premium
PRC00024,ITEM0005,LOC0024,450.0,149.0,2025-03-01,,location premium
PRC00025,ITEM0005,LOC0025,450.0,149.0,2025-03-01,,location premium
PRC00026,ITEM0006,,750.0,275.83,2024-07-01,2025-01-31,menu revision
PRC00027,ITEM0006,,770.0,296.28,2025-02-01,,inflation
PRC00028,ITEM0006,LOC0003,830.0,296.28,2025-03-01,,location premium
PRC00029,ITEM0006,LOC0006,830.0,296.28,2025-03-01,,location premium
PRC00030,ITEM0006,LOC0009,830.0,296.28,2025-03-01,,location premium
