order_id,order_item_id,item_id,quantity,unit_price,unit_cost,discount_amount,line_total
ORD00060883,OI000328618,ITEM0043,1,5110.00,2066.57,0.00,5110.00
ORD00060883,OI000328619,ITEM0081,3,1510.00,1047.44,0.00,4530.00
ORD00060883,OI000328620,ITEM0127,1,500.00,76.86,0.00,500.00
ORD00060883,OI000328621,ITEM0134,3,160.00,105.60,120.00,360.00
ORD00060884,OI000328622,ITEM0005,3,420.00,149.00,0.00,1260.00
ORD00060884,OI000328623,ITEM0068,3,680.00,470.19,0.00,2040.00
ORD00060884,OI000328624,ITEM0134,1,160.00,105.60,0.00,160.00
ORD00060884,OI000328625,ITEM0135,1,105.00,69.46,0.00,105.00
ORD00060884,OI000328626,ITEM0152,1,95.00,38.94,0.00,95.00
ORD00060885,OI000328627,ITEM0033,1,900.00,299.82,0.00,900.00
ORD00060885,OI000328628,ITEM0040,2,730.00,258.94,0.00,1460.00
ORD00060885,OI000328629,ITEM0044,3,1440.00,498.16,0.00,4320.00
ORD00060885,OI000328630,ITEM0048,3,1460.00,572.91,0.00,4380.00
ORD00060885,OI000328631,ITEM0057,5,670.00,446.99,0.00,3350.00
ORD00060885,OI000328632,ITEM0058,1,990.00,378.58,0.00,990.00
ORD00060885,OI000328633,ITEM0094,1,1500.00,682.35,0.00,1500.00
ORD00060885,OI000328634,ITEM0135,1,105.00,69.46,0.00,105.00
ORD00060885,OI000328635,ITEM0154,3,370.00,126.03,0.00,1110.00
ORD00060886,OI000328636,ITEM0005,1,450.00,149.00,0.00,450.00
ORD00060886,OI000328637,ITEM0043,1,5110.00,2066.57,0.00,5110.00
ORD00060886,OI000328638,ITEM0058,3,990.00,378.58,0.00,2970.00
ORD00060886,OI000328639,ITEM0065,2,1300.00,489.16,0.00,2600.00
ORD00060886,OI000328640,ITEM0133,1,180.00,78.35,0.00,180.00
ORD00060886,OI000328641,ITEM0134,2,160.00,105.60,0.00,320.00
ORD00060886,OI000328642,ITEM0143,1,540.00,180.93,0.00,540.00
ORD00060886,OI000328643,ITEM0147,2,450.00,148.21,0.00,900.00
ORD00060887,OI000328644,ITEM0028,3,390.00,160.88,0.00,1170.00
ORD00060887,OI000328645,ITEM0068,1,680.00,470.19,0.00,680.00
ORD00060887,OI000328646,ITEM0134,1,160.00,105.60,0.00,160.00
ORD00060887,OI000328647,ITEM0141,2,510.00,166.18,0.00,1020.00
ORD00060887,OI000328648,ITEM0151,1,60.00,43.08,0.00,60.00
ORD00060888,OI000328649,ITEM0027,1,440.00,144.90,0.00,440.00
ORD00060888,OI000328650,ITEM0043,1,5110.00,2066.57,0.00,5110.00
ORD00060888,OI000328651,ITEM0045,1,1530.00,595.53,0.00,1530.00
ORD00060888,OI000328652,ITEM9531,2,680.00,470.19,0.00,1360.00
ORD00060888,OI000328653,ITEM0077,1,780.00,295.15,0.00,780.00
ORD00060888,OI000328654,ITEM0134,1,160.00,105.60,0.00,160.00
ORD00060888,OI000328655,ITEM0157,1,770.00,314.38,0.00,770.00
ORD00060889,OI000328656,ITEM0057,1,670.00,446.99,0.00,670.00
ORD00060889,OI000328657,ITEM0081,4,1510.00,1047.44,0.00,6040.00
ORD00060890,OI000328658,ITEM0051,3,680.00,266.66,0.00,2040.00
ORD00060890,OI000328659,ITEM0060,1,790.00,323.39,0.00,790.00
ORD00060890,OI000328660,ITEM0068,4,680.00,470.19,0.00,2720.00
ORD00060891,OI000328661,ITEM0050,1,1860.00,751.10,0.00,1860.00
ORD00060891,OI000328662,ITEM0090,1,1840.00,663.73,0.00,1840.00
ORD00060891,OI000328663,ITEM0095,3,1140.00,485.13,0.00,3420.00
ORD00060891,OI000328664,ITEM0151,2,65.00,43.08,0.00,130.00
ORD00060891,OI000328665,ITEM0152,5,95.00,38.94,0.00,475.00
ORD00060892,OI000328666,ITEM0031,1,1100.00,364.08,0.00,1100.00
ORD00060892,OI000328667,ITEM0061,1,980.00,363.74,0.00,980.00
ORD00060892,OI000328668,ITEM0062,6,790.00,350.53,0.00,4740.00
ORD00060892,OI000328669,ITEM0081,2,1510.00,1047.44,0.00,3020.00
ORD00060892,OI000328670,ITEM0137,1,330.00,112.52,0.00,330.00
ORD00060893,OI000328671,ITEM0033,3,900.00,299.82,0.00,2700.00
ORD00060893,OI000328672,ITEM0034,3,1020.00,445.69,0.00,3060.00
ORD00060893,OI000328673,,1,990.00,378.58,0.00,990.00
ORD00060893,OI000328674,ITEM0068,2,680.00,470.19,0.00,1360.00
ORD00060893,OI000328675,ITEM0102,1,1450.00,625.27,0.00,1450.00
ORD00060893,OI000328676,ITEM0127,1,500.00,76.86,0.00,500.00
ORD00060893,OI000328677,ITEM0138,2,270.00,108.52,0.00,540.00
ORD00060893,OI000328678,ITEM0149,1,370.00,165.96,0.00,370.00
ORD00060894,OI000328679,ITEM0023,2,470.00,200.14,0.00,940.00
ORD00060894,OI000328680,ITEM0038,1,1140.00,497.08,0.00,1140.00
ORD00060894,OI000328681,ITEM0043,1,5110.00,2066.57,0.00,5110.00
ORD00060894,OI000328682,ITEM0115,2,610.00,186.26,0.00,1220.00
ORD00060894,OI000328683,ITEM0138,1,270.00,108.52,0.00,270.00
ORD00060894,OI000328684,ITEM0153,2,40.00,16.47,0.00,80.00
ORD00060894,OI000328685,ITEM0157,2,770.00,314.38,0.00,1540.00
ORD00060895,OI000328686,ITEM0021,1,430.00,179.74,0.00,430.00
ORD00060895,OI000328687,ITEM0024,1,790.00,275.47,0.00,790.00
ORD00060895,OI000328688,ITEM0033,1,900.00,299.82,0.00,900.00
ORD00060895,OI000328689,ITEM0135,2,105.00,69.46,0.00,210.00
ORD00060895,OI000328690,ITEM0151,4,60.00,43.08,0.00,240.00
ORD00060896,OI000328691,ITEM0034,1,1020.00,445.69,0.00,1020.00
ORD00060896,OI000328692,ITEM0041,1,1250.00,495.95,0.00,1250.00
ORD00060896,OI000328693,ITEM0059,1,730.00,317.89,0.00,730.00
ORD00060896,OI000328694,ITEM0148,3,320.00,208.57,0.00,960.00
ORD00060897,OI000328695,ITEM0093,1,1090.00,392.41,0.00,1090.00
ORD00060897,OI000328696,ITEM0102,2,1340.00,625.27,0.00,2680.00
ORD00060897,OI000328697,ITEM0121,3,360.00,121.95,0.00,1080.00
