order_id,order_item_id,item_id,quantity,unit_price,unit_cost,discount_amount,line_total
ORD32770271,OI000848175,ITEM0087,1,3170.00,1492.61,951.00,2219.00
ORD85635933,OI000848262,ITEM0156,3,130.00,48.41,0.00,390.00
ORD00156167,OI000848311,ITEM0061,2,980.00,363.74,0.00,1960.00
ORD00156167,OI000848312,ITEM0090,1,1910.00,682.77,0.00,1910.00
ORD00156167,OI000848313,ITEM0138,1,265.00,113.51,79.50,185.50
ORD00156167,OI000848314,ITEM0151,1,65.00,45.19,19.50,45.50
ORD44061686,OI000848719,ITEM0025,2,890.00,334.06,0.00,1780.00
ORD00156308,OI000849084,ITEM0045,2,1530.00,595.53,0.00,3060.00
ORD00156308,OI000849085,ITEM0068,1,680.00,470.19,0.00,680.00
ORD00156308,OI000849086,ITEM0074,1,1230.00,548.77,0.00,1230.00
ORD00156308,OI000849087,ITEM0112,2,310.00,140.73,0.00,620.00
ORD00156308,OI000849088,ITEM0133,1,180.00,78.35,0.00,180.00
ORD00156308,OI000849089,ITEM0139,2,410.00,69.54,0.00,820.00
ORD80866213,OI000849605,ITEM0072,1,790.00,332.55,0.00,790.00
ORD76441463,OI000849889,ITEM0066,1,950.00,343.77,0.00,950.00
ORD73710506,OI000850024,ITEM0055,3,750.00,235.61,0.00,2250.00
ORD85154220,OI000850169,ITEM0129,1,600.00,188.49,0.00,600.00
ORD71138502,OI000850399,ITEM0019,1,360.00,154.84,0.00,360.00
ORD81830697,OI000850561,ITEM0153,2,40.00,16.47,0.00,80.00
ORD82275320,OI000850977,ITEM0057,2,690.00,468.22,0.00,1380.00
ORD00156736,OI000851414,ITEM0020,2,810.00,323.82,0.00,1620.00
ORD00156736,OI000851415,ITEM0042,1,5470.00,2596.95,1641.00,3829.00
ORD00156736,OI000851416,ITEM0050,1,1770.00,776.26,0.00,1770.00
ORD00156736,OI000851417,ITEM0124,1,190.00,131.48,0.00,190.00
ORD00156736,OI000851418,ITEM0160,1,105.00,47.30,31.50,73.50
ORD08800239,OI000851548,ITEM0040,1,750.00,267.75,0.00,750.00
ORD20158972,OI000851557,ITEM0081,1,1510.00,1047.44,0.00,1510.00
ORD18273159,OI000851772,ITEM0044,5,1480.00,512.67,0.00,7400.00
