table,id_column,row_id,issue,action,detail
Menu_Items,item_id,ITEM0007,invalid_price,corrected,-1570.00 -> 1570.00 (latest chain-wide Pricing_History)
Menu_Items,item_id,ITEM0045,invalid_price,corrected,-1530.00 -> 1530.00 (latest chain-wide Pricing_History)
Menu_Items,item_id,ITEM0124,invalid_price,corrected,0.00 -> 190.00 (latest chain-wide Pricing_History)
Pricing_History,price_id,PRC00165,quarantine,quarantined,
Pricing_History,price_id,PRC00235,quarantine,quarantined,
Pricing_History,price_id,PRC00245,quarantine,quarantined,
Pricing_History,price_id,PRC00251,quarantine,quarantined,
Pricing_History,price_id,PRC00258,quarantine,quarantined,
Pricing_History,price_id,PRC00317,quarantine,quarantined,
Pricing_History,price_id,PRC00410,quarantine,quarantined,
Pricing_History,price_id,PRC00440,quarantine,quarantined,
Pricing_History,price_id,PRC00607,quarantine,quarantined,
Pricing_History,price_id,PRC00622,quarantine,quarantined,
Pricing_History,price_id,PRC00667,quarantine,quarantined,
Pricing_History,price_id,PRC00769,quarantine,quarantined,
Pricing_History,price_id,PRC00810,quarantine,quarantined,
Pricing_History,price_id,PRC00891,quarantine,quarantined,
Customers,customer_id,CUST0000176,quarantine,quarantined,
Customers,customer_id,CUST0000188,quarantine,quarantined,
Customers,customer_id,CUST0000223,quarantine,quarantined,
Customers,customer_id,CUST0000258,quarantine,quarantined,
Customers,customer_id,CUST0000397,quarantine,quarantined,
Customers,customer_id,CUST0000690,quarantine,quarantined,
Customers,customer_id,CUST0000852,quarantine,quarantined,
Customers,customer_id,CUST0000867,quarantine,quarantined,
Customers,customer_id,CUST0001032,quarantine,quarantined,
Customers,customer_id,CUST0001060,quarantine,quarantined,
Customers,customer_id,CUST0001094,quarantine,quarantined,
Customers,customer_id,CUST0001102,quarantine,quarantined,
Customers,customer_id,CUST0001378,quarantine,quarantined,
Customers,customer_id,CUST0001415,quarantine,quarantined,
Customers,customer_id,CUST0001456,quarantine,quarantined,
Customers,customer_id,CUST0001653,quarantine,quarantined,
Customers,customer_id,CUST0001700,quarantine,quarantined,
Customers,customer_id,CUST0001753,quarantine,quarantined,
Customers,customer_id,CUST0002237,quarantine,quarantined,
Customers,customer_id,CUST0002383,quarantine,quarantined,
Customers,customer_id,CUST0002407,quarantine,quarantined,
Customers,customer_id,CUST0002523,quarantine,quarantined,
Customers,customer_id,CUST0002617,quarantine,quarantined,
Customers,customer_id,CUST0002710,quarantine,quarantined,
Customers,customer_id,CUST0003275,quarantine,quarantined,
Customers,customer_id,CUST0003293,quarantine,quarantined,
Customers,customer_id,CUST0003314,quarantine,quarantined,
Customers,customer_id,CUST0003494,quarantine,quarantined,
Customers,customer_id,CUST0003595,quarantine,quarantined,
Customers,customer_id,CUST0003653,quarantine,quarantined,
Customers,customer_id,CUST0003766,quarantine,quarantined,
Customers,customer_id,CUST0003773,quarantine,quarantined,
Customers,customer_id,CUST0004130,quarantine,quarantined,
Customers,customer_id,CUST0004149,quarantine,quarantined,
Customers,customer_id,CUST0004325,quarantine,quarantined,
Customers,customer_id,CUST0004386,quarantine,quarantined,
Customers,customer_id,CUST0004437,quarantine,quarantined,
Customers,customer_id,CUST0004442,quarantine,quarantined,
Customers,customer_id,CUST0004444,quarantine,quarantined,
Customers,customer_id,CUST0004593,quarantine,quarantined,
Customers,customer_id,CUST0004647,quarantine,quarantined,
Customers,customer_id,CUST0004675,quarantine,quarantined,
Customers,customer_id,CUST0004779,quarantine,quarantined,
Customers,customer_id,CUST0004879,quarantine,quarantined,
Customers,customer_id,CUST0005126,quarantine,quarantined,
Customers,customer_id,CUST0005134,quarantine,quarantined,
Customers,customer_id,CUST0005270,quarantine,quarantined,
