table,rule,row_key,column,original_value,injected_value
Customers,invalid_date,CUST0000188,signup_date,2025-07-02,2027-11-05
Customers,invalid_date,CUST0001032,signup_date,2022-02-05,2027-11-05
Customers,invalid_date,CUST0001060,signup_date,2024-01-25,15-07-2025
Customers,invalid_date,CUST0001094,signup_date,2025-02-14,2099-12-31
Customers,invalid_date,CUST0001102,signup_date,2024-01-27,2027-11-05
Customers,invalid_date,CUST0001415,signup_date,2025-07-10,1970-01-01
Customers,invalid_date,CUST0001456,signup_date,2024-01-03,2027-11-05
Customers,invalid_date,CUST0002407,signup_date,2025-01-16,2031-07-22
Customers,invalid_date,CUST0002523,signup_date,2023-08-19,2099-12-31
Customers,invalid_date,CUST0003275,signup_date,2022-08-21,15-07-2025
Customers,invalid_date,CUST0003293,signup_date,2025-11-15,15-07-2025
Customers,invalid_date,CUST0003314,signup_date,2025-10-05,2027-11-05
Customers,invalid_date,CUST0003595,signup_date,2023-03-01,1970-01-01
Customers,invalid_date,CUST0003653,signup_date,2025-12-12,2025-13-07
Customers,invalid_date,CUST0003773,signup_date,2022-02-15,not_a_date
Customers,invalid_date,CUST0004149,signup_date,2023-04-08,20250612
Customers,invalid_date,CUST0004437,signup_date,2022-12-30,15-07-2025
Customers,invalid_date,CUST0004442,signup_date,2022-12-16,not_a_date
Customers,invalid_date,CUST0004593,signup_date,2023-09-02,not_a_date
Customers,invalid_date,CUST0004779,signup_date,2025-06-10,2031-07-22
Customers,invalid_date,CUST0005270,signup_date,2023-11-08,not_a_date
Customers,invalid_date,CUST0005300,signup_date,2024-09-22,07/15/2025
Customers,invalid_date,CUST0005495,signup_date,2023-12-01,2027-11-05
Customers,invalid_date,CUST0005904,signup_date,2024-08-08,2031-07-22
Customers,invalid_date,CUST0006309,signup_date,2023-06-19,2031-07-22
Customers,invalid_date,CUST0006360,signup_date,2024-09-04,2025-13-07
Customers,invalid_date,CUST0006571,signup_date,2023-04-14,1970-01-01
Customers,invalid_date,CUST0006594,signup_date,2022-01-01,2099-12-31
Customers,invalid_date,CUST0006607,signup_date,2024-01-20,2099-12-31
Customers,invalid_date,CUST0006630,signup_date,2021-10-03,07/15/2025
Customers,invalid_date,CUST0006633,signup_date,2025-11-30,1900-01-01
Customers,invalid_date,CUST0006707,signup_date,2025-02-26,15-07-2025
Customers,invalid_date,CUST0006735,signup_date,2023-12-18,2025-02-30
Customers,invalid_date,CUST0006772,signup_date,2022-10-03,2031-07-22
Customers,invalid_date,CUST0006854,signup_date,2024-03-28,1970-01-01
Customers,invalid_date,CUST0006992,signup_date,2025-10-04,2025/06/31
Customers,invalid_date,CUST0007322,signup_date,2023-06-05,15-07-2025
Customers,invalid_date,CUST0007347,signup_date,2023-12-14,15-07-2025
Customers,invalid_date,CUST0007408,signup_date,2023-02-02,2031-07-22
Customers,invalid_date,CUST0007417,signup_date,2024-01-15,1900-01-01
Customers,invalid_date,CUST0007806,signup_date,2022-12-19,2099-12-31
Customers,invalid_date,CUST0007830,signup_date,2022-09-14,1900-01-01
Customers,invalid_date,CUST0007853,signup_date,2024-03-04,2031-07-22
Customers,invalid_date,CUST0007986,signup_date,2023-02-15,07/15/2025
Customers,invalid_date,CUST0008004,signup_date,2025-01-05,not_a_date
Customers,invalid_date,CUST0008045,signup_date,2022-01-23,1900-01-01
Customers,invalid_date,CUST0008078,signup_date,2023-02-09,not_a_date
Customers,invalid_date,CUST0008473,signup_date,2025-03-31,07/15/2025
Customers,invalid_date,CUST0008753,signup_date,2022-04-29,2031-07-22
Customers,invalid_date,CUST0008898,signup_date,2025-01-14,1970-01-01
Customers,invalid_date,CUST0009207,signup_date,2025-06-10,2025-02-30
Customers,invalid_date,CUST0009263,signup_date,2023-04-22,15-07-2025
Customers,invalid_date,CUST0009560,signup_date,2025-10-26,2025-02-30
Customers,invalid_date,CUST0009585,signup_date,2023-05-30,2027-11-05
Customers,invalid_date,CUST0010734,signup_date,2024-10-13,not_a_date
Customers,invalid_date,CUST0010762,signup_date,2025-11-21,15-07-2025
Customers,invalid_date,CUST0010860,signup_date,2022-08-31,20250612
Customers,invalid_date,CUST0010944,signup_date,2023-06-02,2025-13-07
Customers,invalid_date,CUST0011079,signup_date,2025-01-23,2031-07-22
Customers,invalid_date,CUST0011105,signup_date,2025-05-11,2099-12-31
Customers,invalid_date,CUST0011132,signup_date,2025-01-11,2027-11-05
Customers,invalid_date,CUST0011232,signup_date,2022-11-17,2031-07-22
Customers,invalid_date,CUST0011464,signup_date,2024-06-16,2031-07-22
Customers,invalid_date,CUST0011618,signup_date,2024-05-10,07/15/2025
Customers,invalid_date,CUST0011623,signup_date,2025-11-05,20250612
Customers,invalid_date,CUST0011650,signup_date,2025-01-20,20250612
Customers,invalid_date,CUST0011743,signup_date,2022-07-18,15-07-2025
Customers,invalid_date,CUST0011892,signup_date,2024-01-21,2099-12-31
Customers,invalid_date,CUST0012582,signup_date,2023-04-21,1900-01-01
Customers,invalid_date,CUST0012593,signup_date,2024-08-24,15-07-2025
Customers,invalid_date,CUST0012756,signup_date,2025-11-21,2031-07-22
Customers,invalid_date,CUST0014191,signup_date,2022-12-20,not_a_date
Customers,invalid_date,CUST0014199,signup_date,2023-04-09,2025/06/31
Customers,invalid_date,CUST0014247,signup_date,2023-05-12,07/15/2025
Customers,invalid_date,CUST0014294,signup_date,2022-03-24,2027-11-05
Customers,invalid_date,CUST0014550,signup_date,2023-06-25,2031-07-22
Customers,invalid_date,CUST0014595,signup_date,2024-02-20,2031-07-22
Customers,invalid_date,CUST0015136,signup_date,2025-04-04,1900-01-01
Customers,invalid_date,CUST0015164,signup_date,2023-04-09,2027-11-05
Customers,invalid_date,CUST0016579,signup_date,2024-08-22,20250612
Customers,invalid_date,CUST0016663,signup_date,2025-10-16,2025/06/31
Customers,invalid_date,CUST0017220,signup_date,2024-12-03,not_a_date
Customers,invalid_date,CUST0017348,signup_date,2024-06-03,2025-13-07
Customers,invalid_date,CUST0017683,signup_date,2025-11-17,07/15/2025
Customers,invalid_date,CUST0017883,signup_date,2025-12-10,20250612
Customers,invalid_date,CUST0018037,signup_date,2024-11-23,1900-01-01
Customers,invalid_date,CUST0018160,signup_date,2022-04-07,2025-13-07
Customers,invalid_date,CUST0018382,signup_date,2022-10-23,1900-01-01
Customers,invalid_date,CUST0018609,signup_date,2025-10-07,1900-01-01
Customers,invalid_date,CUST0018793,signup_date,2022-07-30,1970-01-01
Customers,invalid_date,CUST0018916,signup_date,2025-07-10,1970-01-01
Customers,invalid_date,CUST0018920,signup_date,2023-03-27,20250612
Customers,invalid_date,CUST0018967,signup_date,2025-05-21,2025-02-30
Customers,invalid_date,CUST0019181,signup_date,2024-04-07,2027-11-05
Customers,invalid_date,CUST0019307,signup_date,2024-06-20,15-07-2025
Customers,invalid_date,CUST0019547,signup_date,2022-11-06,2027-11-05
Customers,invalid_date,CUST0019590,signup_date,2023-04-11,15-07-2025
Customers,invalid_date,CUST0019733,signup_date,2025-08-05,2027-11-05
Customers,invalid_date,CUST0019895,signup_date,2025-01-28,2099-12-31
Customers,invalid_date,CUST0020009,signup_date,2025-10-03,2099-12-31
Customers,invalid_date,CUST0020034,signup_date,2024-03-03,2099-12-31
Customers,invalid_date,CUST0020334,signup_date,2024-01-15,1900-01-01
Customers,invalid_date,CUST0020443,signup_date,2022-11-21,1900-01-01
Customers,invalid_date,CUST0020448,signup_date,2023-11-15,2025-02-30
Customers,invalid_date,CUST0020875,signup_date,2025-04-12,1900-01-01
Customers,invalid_date,CUST0021091,signup_date,2025-08-04,2025/06/31
Customers,invalid_date,CUST0021152,signup_date,2022-09-28,1970-01-01
Customers,invalid_date,CUST0021306,signup_date,2024-11-04,not_a_date
Customers,invalid_date,CUST0021330,signup_date,2025-01-06,2099-12-31
Customers,invalid_date,CUST0021413,signup_date,2025-12-02,20250612
Customers,invalid_date,CUST0021665,signup_date,2024-10-02,1970-01-01
Customers,invalid_date,CUST0021760,signup_date,2024-02-05,2025-13-07
Customers,invalid_date,CUST0021781,signup_date,2024-04-19,2031-07-22
Customers,invalid_date,CUST0022347,signup_date,2024-08-15,2025/06/31
Customers,invalid_date,CUST0022446,signup_date,2021-06-08,not_a_date
Customers,invalid_date,CUST0022666,signup_date,2022-01-24,1900-01-01
Customers,invalid_date,CUST0022935,signup_date,2025-10-11,2099-12-31
Customers,invalid_date,CUST0022980,signup_date,2025-06-11,2025-02-30
Customers,invalid_date,CUST0023458,signup_date,2023-04-27,1970-01-01
Customers,invalid_date,CUST0023629,signup_date,2025-10-23,20250612
Customers,invalid_date,CUST0024449,signup_date,2024-03-25,07/15/2025
Customers,invalid_date,CUST0024782,signup_date,2022-02-06,2031-07-22
Customers,invalid_date,CUST0024873,signup_date,2024-05-02,15-07-2025
Customers,invalid_date,CUST0024989,signup_date,2025-12-06,2025/06/31
Customers,invalid_date,CUST0025144,signup_date,2023-05-07,07/15/2025
Customers,invalid_date,CUST0025363,signup_date,2024-12-14,15-07-2025
Customers,invalid_date,CUST0025489,signup_date,2023-03-24,1900-01-01
Customers,invalid_date,CUST0025560,signup_date,2025-03-18,2025-13-07
Customers,invalid_date,CUST0026023,signup_date,2025-06-10,20250612
Customers,invalid_date,CUST0026731,signup_date,2022-01-27,2025-13-07
Customers,invalid_date,CUST0027046,signup_date,2023-07-06,15-07-2025
Customers,invalid_date,CUST0027127,signup_date,2025-10-03,1900-01-01
Customers,invalid_date,CUST0027368,signup_date,2024-02-02,1970-01-01
Customers,invalid_date,CUST0027484,signup_date,2025-08-05,not_a_date
Customers,invalid_date,CUST0027608,signup_date,2023-11-23,2099-12-31
Customers,invalid_date,CUST0027890,signup_date,2025-06-18,1970-01-01
Customers,invalid_date,CUST0027993,signup_date,2025-05-15,2025/06/31
Customers,invalid_date,CUST0028088,signup_date,2025-01-26,2025-13-07
Customers,invalid_date,CUST0028272,signup_date,2025-10-31,1900-01-01
Customers,invalid_date,CUST0028328,signup_date,2023-08-16,not_a_date
Customers,invalid_date,CUST0028360,signup_date,2022-01-28,20250612
Customers,invalid_date,CUST0028661,signup_date,2021-06-09,2099-12-31
Customers,invalid_date,CUST0029049,signup_date,2025-12-02,not_a_date
Customers,invalid_date,CUST0029078,signup_date,2025-01-01,2025/06/31
Customers,invalid_date,CUST0029333,signup_date,2025-04-03,not_a_date
Customers,invalid_date,CUST0029351,signup_date,2024-12-23,1900-01-01
Customers,invalid_date,CUST0029402,signup_date,2022-03-24,2025/06/31
Customers,invalid_date,CUST0029591,signup_date,2025-11-24,2027-11-05
Customers,invalid_date,CUST0029853,signup_date,2023-06-08,2025-02-30
Customers,invalid_date,CUST0030152,signup_date,2024-08-01,2027-11-05
Customers,invalid_date,CUST0030365,signup_date,2022-01-31,1900-01-01
Customers,invalid_date,CUST0030476,signup_date,2022-09-01,1970-01-01
Customers,invalid_date,CUST0030792,signup_date,2025-03-23,2099-12-31
Customers,invalid_date,CUST0030957,signup_date,2022-04-16,20250612
Customers,invalid_date,CUST0031890,signup_date,2025-04-03,20250612
Customers,invalid_date,CUST0031995,signup_date,2023-03-09,1900-01-01
Customers,invalid_date,CUST0032191,signup_date,2022-05-16,07/15/2025
Customers,invalid_date,CUST0032407,signup_date,2024-01-10,2031-07-22
Customers,invalid_date,CUST0032455,signup_date,2025-11-22,2031-07-22
Customers,invalid_date,CUST0032538,signup_date,2022-07-19,2099-12-31
Customers,invalid_date,CUST0032743,signup_date,2024-09-09,2099-12-31
Customers,invalid_date,CUST0032871,signup_date,2023-07-20,1900-01-01
