table,rule,column,rows_affected,table_rows,pct_of_table
Customers,invalid_date,signup_date,275,55000,0.5
Customers,orphan_foreign_key,home_location_id,275,55000,0.5
Menu_Items,invalid_price,base_price,3,160,1.875
Pricing_History,invalid_price,price,14,959,1.46
Orders,missing_value,customer_id,1946,196547,0.99
Orders,orphan_foreign_key,customer_id,973,196547,0.495
Orders,orphan_foreign_key,location_id,584,196547,0.297
Orders,invalid_date,order_datetime,973,196547,0.495
Orders,discount_exceeds_subtotal,discount_amount,973,196547,0.495
Orders,duplicate_row,,1946,196547,0.99
Order_Items,missing_value,item_id,5298,1070114,0.495
Order_Items,negative_quantity,quantity,5298,1070114,0.495
Order_Items,invalid_price,unit_price,3179,1070114,0.297
Order_Items,orphan_foreign_key,order_id,3179,1070114,0.297
Order_Items,orphan_foreign_key,item_id,3179,1070114,0.297
Order_Items,duplicate_row,,10595,1070114,0.99
Ratings,missing_value,rating_value,1575,105000,1.5
Ratings,rating_out_of_range,rating_value,1050,105000,1.0
Ratings,invalid_date,rating_date,525,105000,0.5
Ratings,orphan_foreign_key,location_id,525,105000,0.5
Ratings,orphan_foreign_key,customer_id,315,105000,0.3
Inventory,inconsistent_unit,unit,12512,1251246,1.0
Inventory,orphan_foreign_key,item_id,3754,1251246,0.3
Wastage,wastage_exceeds_prepared,quantity_wasted,603,60290,1.0
Wastage,inconsistent_unit,unit,1206,60290,2.0
Wastage,invalid_date,date,301,60290,0.499
Wastage,missing_value,item_id,301,60290,0.499
Wastage,orphan_foreign_key,location_id,301,60290,0.499
