record_type,record_id,actual,spark_result,python_result,spark_python_match,numerical_difference,spark_confidence,python_confidence,confidence_measure,final_consistency_status
menu_item,ITEM0040,Hidden Opportunity,Hidden Opportunity,Hidden Opportunity,Match,N/A,0.7333,0.7196,predicted-class probability,Consistent: both correct
menu_item,ITEM0056,Hidden Opportunity,Hidden Opportunity,Hidden Opportunity,Match,N/A,0.7,0.7803,predicted-class probability,Consistent: both correct
menu_item,ITEM0108,Hidden Opportunity,Hidden Opportunity,Hidden Opportunity,Match,N/A,0.9667,0.8385,predicted-class probability,Consistent: both correct
menu_item,ITEM0114,Hidden Opportunity,Hidden Opportunity,Hidden Opportunity,Match,N/A,0.8333,0.8678,predicted-class probability,Consistent: both correct
menu_item,ITEM0142,Hidden Opportunity,Hidden Opportunity,Hidden Opportunity,Match,N/A,0.8,0.8068,predicted-class probability,Consistent: both correct
menu_item,ITEM0012,Low Performer,Low Performer,Low Performer,Match,N/A,0.9667,0.8321,predicted-class probability,Consistent: both correct
menu_item,ITEM0018,Low Performer,Low Performer,Low Performer,Match,N/A,0.7,0.7749,predicted-class probability,Consistent: both correct
menu_item,ITEM0025,Low Performer,Low Performer,Low Performer,Match,N/A,0.6667,0.7075,predicted-class probability,Consistent: both correct
menu_item,ITEM0035,Low Performer,Low Performer,Low Performer,Match,N/A,0.8,0.7453,predicted-class probability,Consistent: both correct
menu_item,ITEM0043,Low Performer,Low Performer,Low Performer,Match,N/A,0.6,0.5826,predicted-class probability,Consistent: both correct
menu_item,ITEM0047,Low Performer,Low Performer,Low Performer,Match,N/A,0.8667,0.8045,predicted-class probability,Consistent: both correct
menu_item,ITEM0060,Low Performer,Hidden Opportunity,Hidden Opportunity,Match,N/A,0.5667,0.5388,predicted-class probability,Consistent: both wrong
menu_item,ITEM0062,Low Performer,Low Performer,Low Performer,Match,N/A,0.4333,0.4101,predicted-class probability,Consistent: both correct
menu_item,ITEM0069,Low Performer,Low Performer,Low Performer,Match,N/A,0.6333,0.7272,predicted-class probability,Consistent: both correct
menu_item,ITEM0070,Low Performer,Low Performer,Low Performer,Match,N/A,0.8,0.8054,predicted-class probability,Consistent: both correct
menu_item,ITEM0122,Low Performer,Low Performer,Low Performer,Match,N/A,0.9,0.7646,predicted-class probability,Consistent: both correct
menu_item,ITEM0123,Low Performer,Low Performer,Low Performer,Match,N/A,0.9,0.7788,predicted-class probability,Consistent: both correct
menu_item,ITEM0027,Profit Driver,Profit Driver,Profit Driver,Match,N/A,0.7,0.7469,predicted-class probability,Consistent: both correct
menu_item,ITEM0054,Profit Driver,Volume Driver,Volume Driver,Match,N/A,0.6,0.4886,predicted-class probability,Consistent: both wrong
menu_item,ITEM0136,Profit Driver,Profit Driver,Profit Driver,Match,N/A,0.6667,0.8558,predicted-class probability,Consistent: both correct
menu_item,ITEM0147,Profit Driver,Profit Driver,Profit Driver,Match,N/A,0.5667,0.5984,predicted-class probability,Consistent: both correct
menu_item,ITEM0004,Volume Driver,Volume Driver,Volume Driver,Match,N/A,0.9,0.9251,predicted-class probability,Consistent: both correct
menu_item,ITEM0036,Volume Driver,Volume Driver,Volume Driver,Match,N/A,0.8667,0.7937,predicted-class probability,Consistent: both correct
menu_item,ITEM0048,Volume Driver,Volume Driver,Volume Driver,Match,N/A,1.0,0.9491,predicted-class probability,Consistent: both correct
menu_item,ITEM0049,Volume Driver,Volume Driver,Volume Driver,Match,N/A,0.8333,0.7706,predicted-class probability,Consistent: both correct
menu_item,ITEM0091,Volume Driver,Volume Driver,Volume Driver,Match,N/A,0.8,0.8136,predicted-class probability,Consistent: both correct
menu_item,ITEM0134,Volume Driver,Volume Driver,Volume Driver,Match,N/A,0.9667,0.9626,predicted-class probability,Consistent: both correct
menu_item,ITEM0153,Volume Driver,Volume Driver,Volume Driver,Match,N/A,0.9667,0.8831,predicted-class probability,Consistent: both correct
customer,CUST0000004,Occasional,Occasional,Occasional,Match,N/A,0.6551,0.6601,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000016,Occasional,Occasional,Occasional,Match,N/A,0.6796,0.6787,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000022,High-Value Loyal,High-Value Loyal,High-Value Loyal,Match,N/A,0.9386,0.904,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000030,Promotion-Driven,Promotion-Driven,Promotion-Driven,Match,N/A,1.5742,1.5746,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000033,New,Occasional,Occasional,Match,N/A,1.3162,1.3153,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000035,Occasional,Occasional,Occasional,Match,N/A,0.3534,0.3576,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000040,Promotion-Driven,Promotion-Driven,Promotion-Driven,Match,N/A,1.0789,1.0791,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000049,Occasional,Occasional,Occasional,Match,N/A,1.0743,1.0697,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000064,Promotion-Driven,Occasional,Occasional,Match,N/A,4.9926,4.9949,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000080,Occasional,Occasional,Occasional,Match,N/A,0.6695,0.6691,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000083,New,Occasional,Occasional,Match,N/A,0.6395,0.6369,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000084,Occasional,Occasional,Occasional,Match,N/A,0.6569,0.662,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000087,Occasional,Occasional,Occasional,Match,N/A,0.6537,0.6579,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000101,New,Occasional,Occasional,Match,N/A,0.5218,0.5177,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000104,Promotion-Driven,Occasional,Occasional,Match,N/A,1.5703,1.5714,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000107,High-Value Loyal,High-Value Loyal,High-Value Loyal,Match,N/A,0.4021,0.4169,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000108,Occasional,Occasional,Occasional,Match,N/A,0.7968,0.7625,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000113,Occasional,Occasional,Occasional,Match,N/A,1.2874,1.2822,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000115,Occasional,At-Risk,At-Risk,Match,N/A,1.2621,1.2576,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000121,Frequent,At-Risk,At-Risk,Match,N/A,1.1622,1.1907,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000122,At-Risk,At-Risk,At-Risk,Match,N/A,1.5484,1.5101,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000124,Occasional,Occasional,Occasional,Match,N/A,1.2146,1.2179,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000126,Promotion-Driven,Promotion-Driven,Promotion-Driven,Match,N/A,1.3534,1.3541,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000129,At-Risk,Occasional,Occasional,Match,N/A,1.467,1.4783,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000138,Occasional,Occasional,Occasional,Match,N/A,0.7269,0.6975,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000158,Occasional,Occasional,Occasional,Match,N/A,1.0856,1.0775,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000162,High-Value Loyal,At-Risk,At-Risk,Match,N/A,0.816,0.8498,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000164,New,Occasional,Occasional,Match,N/A,1.3048,1.305,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000182,At-Risk,At-Risk,At-Risk,Match,N/A,1.5895,1.5468,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000193,High-Value Loyal,At-Risk,At-Risk,Match,N/A,0.9402,0.9999,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000195,Promotion-Driven,Promotion-Driven,Promotion-Driven,Match,N/A,0.722,0.7229,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000197,Occasional,At-Risk,At-Risk,Match,N/A,1.1282,1.1442,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000201,Promotion-Driven,At-Risk,At-Risk,Match,N/A,1.2789,1.3048,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000216,Promotion-Driven,Promotion-Driven,Promotion-Driven,Match,N/A,2.4442,2.4452,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000217,New,Occasional,Occasional,Match,N/A,1.1775,1.1773,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000226,New,Promotion-Driven,Promotion-Driven,Match,N/A,1.1515,1.1516,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000232,At-Risk,At-Risk,At-Risk,Match,N/A,1.1998,1.1558,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000234,Promotion-Driven,Promotion-Driven,Promotion-Driven,Match,N/A,1.4532,1.4538,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000253,Occasional,Occasional,Occasional,Match,N/A,0.7468,0.7429,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
